标题,作者,摘要,关键词
故障诊断·机械设计综合专家系统,翁海珊,"运用人工智能(AI)理论和知识工程技术,使传统的设备故障诊断系统成为基于深知识的知识中心型专家系统。它与机械设计专家系统利用同样的对象模型及其阶层构造和性能框架,在进行设计推理,探索最优设计方案的同时,从深知识推导出诊断故障所需的因果关系,寻找设备的故障及其原因所在,从而使原本各自独立存在、独立运行的两类专家系统融成一体,形成故障诊断,机械设计综合专家系统。","知识工程,专家系统,故障诊断,机械设计,深知识"
深度神经网络模型量化方法综述,"杨春,张睿尧,黄泷,遆书童,林金辉,董志伟,陈松路,刘艳,殷绪成",近年来，利用大型预训练模型来提高深度神经网络在计算机视觉以及自然语言处理等具体任务下的泛化能力和性能，逐渐成为基于深度学习的人工智能技术与应用的发展趋势. 虽然这些深度神经网络模型表现优异，但是由于模型的结构复杂、参数量庞大与计算成本极高，使得它们仍然难以被部署在如家电或智能手机等资源受限的边缘及端侧硬件平台上，这很大程度上阻碍了人工智能技术的应用. 因此，模型压缩与加速技术一直都是深度神经网络模型大规模商业化应用推广的关键问题之一. 当前在多种模型压缩与加速方案中，模型量化是其中主要的有效方法之一. 模型量化技术可以通过减少深度神经网络模型参数的位宽和中间过程特征图的位宽，从而达到压缩加速深度神经网络的目的，使量化后的网络能够部署在资源有限的边缘设备上，然而，由于量化会导致信息的大量丢失，如何在保证模型任务精度条件下实现模型量化已经成为热点问题. 另外，因硬件设备以及应用场景的不同，模型量化技术已经发展成为一个多分支的研究问题. 通过全面地调研不同角度下模型量化相关技术现状，并且深入地总结归纳不同方法的优缺点，可以发现量化技术目前仍然存在的问题，并为未来可能的发展指明方向.,"深度神经网络,模型压缩与加速,模型量化,量化感知训练,后训练量化,混合精度量化"
图模型在分子信息学中的研究综述与展望,"戴嘉欣,付冬梅,张达威,马菱薇",分子信息学作为化学与人工智能交叉融合的前沿领域，正迅速推动药物设计与功能材料开发等领域的技术革新. 分子表示学习作为其核心基础，通过将分子结构编码成保留其拓扑与理化性质的数值向量，为分子性质预测和分子生成等下游任务提供高效特征表示. 相比基于规则和基于字符序列的表征，图模型能够充分利用分子天然的图结构（原子为节点、化学键为边），能够精准捕捉分子拓扑信息和复杂相互作用，现已成为该领域的主流技术. 本文系统综述了图模型在分子信息学中的最新研究进展和应用. 首先详细梳理了分子表征方法的发展历程，阐述图模型的基本概念和独特优势. 其次，围绕分子性质预测和分子生成两大核心任务，系统梳理了常用数据集、评价指标以及各类图判别和图生成模型的特点与研究现状. 同时，结合材料性能预测与晶体生成任务，探讨了不同深度图模型在实际应用中的优缺点、适用场景以及技术挑战. 最后，探讨了大规模预训练、可解释性方法和多模态学习等新兴趋势在分子信息学中的应用潜力，并展望了未来研究方向. 本综述旨在为化学领域研究者快速定位前沿技术与适用方法，同时为人工智能领域研究者梳理技术路线，以推动更高效的算法设计及其在分子信息学中的落地应用.,"图模型,分子信息学,分子性质预测,分子生成,分子表示学习"
文本生成领域的深度强化学习研究进展,"徐聪,李擎,张德政,陈鹏,崔家瑞",谷歌的人工智能系统（AlphaGo）在围棋领域取得了一系列成功，使得深度强化学习得到越来越多的关注。深度强化学习融合了深度学习对复杂环境的感知能力和强化学习对复杂情景的决策能力。而自然语言处理过程中有着数量巨大的词汇或者语句需要表征，并且在对话系统、机器翻译和图像描述等文本生成任务中存在大量难以建模的决策问题。这使得深度强化学习在自然语言处理的文本生成任务中能够发挥重要的作用，帮助改进现有的模型结构或者训练机制，并且已经取得了很多显著的成果。为此，本文系统阐述深度强化学习应用在不同的文本生成任务中的一些主要方法，梳理其发展的轨迹，分析算法特点。最后，展望深度强化学习与自然语言处理任务融合的前景和挑战。,"深度强化学习,自然语言处理,文本生成,对话系统,机器翻译,图像描述"
协同智能网格及其实现架构,"沈记全,贾宗璞,涂序彦","为了提高网格的智能水平和协调能力以及协同分布的网格服务,支持动态的计算环境和多变的用户需求,提出了协同智能网格CIG(cooperative intelligent grid).CIG以OGSA为基础,应用分布式人工智能和分布协调控制的理论和方法来研究和解决网格中如何高效准确地协同现有的网格服务以完成所面临的任务.文中描述了CIG的概念和体系结构,从社区/联邦式政策导向型的系统结构、领域自适应的中介服务协作机制和理性化协商机制等方面构建开放动态的CIG.CIG可以有效地组织各网格实体的协调、协商和合作,提高了服务组合的自动化程度和抽象层次.","网格服务,代理,中介服务,心理模型"
多机器人编队控制研究进展,"贾永楠,李擎","首先介绍了传统的编队控制方法的定义、特点和常用方法及优缺点，并将传统编队控制时代定义为前编队控制时代.随着多智能体技术的发展，将多智能体技术引入到编队控制问题中，诞生了众多新的研究成果，称为后编队控制时代.后编队控制时代以多智能体技术为基础，随着通信技术、计算机技术、人工智能技术的发展而逐渐壮大起来，并受到了学者的广泛关注.前编队控制时代强调多机器人通过编队协作完成单个机器人无法实现的任务，提高任务完成效率且缩短任务完成时间.后编队控制时代则是在前编队控制时代的基础上，更强调低成本、同步性和协同性，但却不那么重视每个个体的任务分工，甚至是按照规则自由分配任务，不再有""不可替代""的个体存在.最后给出了研究编队控制问题的基本思路和目前尚待解决的关键问题.","机器人,编队控制,多智能体技术,大规模系统,分布式控制"
基于CART决策树的冲压成形仿真数据挖掘,"王伟,黄宇星,余鸿敏","油箱壳外形复杂,拉深成形过程中容易出现侧壁起皱和圆角处破裂的缺陷,成形工艺参数的确定非常重要.结合分类与回归决策树(classification and regression tree,CART)的人工智能技术和模型交叉验证方法,通过调用Python平台开源库Scikit-Learn对油箱壳拉深成形数值模拟结果进行知识挖掘,筛选出对油箱壳拉深成形影响大的工艺参数;以基尼指数(Gini index)最小化作为最优特征值及最优切分点选择的依据,构建了工艺参数与性能指标关系的CART决策树,提取出了可靠的工艺设计规则.油箱壳拉深实例表明,CART决策树理论的知识发现技术是实现板料成形过程数值模拟结果潜在知识挖掘的可行途径.","知识发现,数据挖掘,数值仿真,分类与回归树,主成分分析"
数字孪生技术在智慧医疗与健康领域的技术、应用与挑战综述,"林雨嘉,李金海,宁焕生,石飞飞",随着人工智能、云计算、5G等先进技术的发展，数字孪生技术在智慧医疗与健康领域的应用日益广泛，医疗数字孪生的概念随之应运而生. 在这一新兴领域中，患者作为医疗数字孪生研究的核心与难点，对其进行研究可以更好地挖掘并满足患者医疗需求，为个性化医疗服务增质提效. 因此，本文首先详细调研了医疗数字孪生的国家政策导向、学术研究动态以及国际组织情况. 其次，聚焦患者群体构建了医疗数字孪生的综合技术框架，详细剖析了数字支撑技术、孪生体构建技术与人机交互技术这三类关键技术. 第三，本文详细阐述了医疗数字孪生的五大主要应用：运动训练、疾病预测、临床治疗、康复管理及医药试验. 最后，本文对数字孪生技术在智慧医疗与健康领域存在的数据异构、经验主义、安全隐私等问题进行讨论和分析，并提出了针对性的对策.,"数字孪生,智慧医疗与健康,医疗数字孪生,疾病预测,个性化医疗"
自注意力指导的多序列融合肝细胞癌分化判别模型,"贾熹滨,孙政,杨大为,杨正汉","结合影像学和人工智能技术对病灶进行无创性定量分析是目前智慧医疗的一个重要研究方向。针对肝细胞癌（Hepatocellular carcinoma, HCC）分化程度的无创性定量估测方法研究，结合放射科医师的临床读片经验，提出了一种基于自注意力指导的多序列融合肝细胞癌组织学分化程度无创判别计算模型。以动态对比增强核磁共振成像（Dynamic contrast-enhanced magnetic resonance imaging, DCE-MRI）的多个序列为输入，学习各时序序列及各序列的多层扫描切片在分化程度判别任务的权重，加权序列中具有的良好判别性能的时间和空间特征，以提升分化程度判别性能。模型的训练和测试在三甲医院的临床数据集上进行，实验结果表明，本文所提出的肝细胞癌分化程度判别模型取得相比几种基准和主流模型最高的分类计算性能，在WHO组织学分级任务中，判别准确度、灵敏度、精确度分别达到80%，82%和82%。","肝细胞癌分级,动态对比增强核磁共振成像,自注意力机制,多序列融合,辅助诊断"
协作机器人智能控制与人机交互研究综述,"黄海丰,刘培森,李擎,于欣波",协作机器人是一类能够在共享空间中与人类交互或在人类附近安全工作的新型工业机器人，由于其轻质、安全的特点，在柔性制造、社会服务、医疗健康、防灾抗疫等多个领域展现出了良好的应用前景，受到工业界和学术界的广泛关注，成为当前机器人领域的研究热点之一。协作机器人需要具备良好的控制性能确保与人交互的安全性，集成多种传感器感知外部环境并应用智能控制理论与方法来确保高效的协作行为。在我国，人机协作已列入《智能制造2025》和《新一代人工智能发展规划》重点支持研究计划。本文主要介绍了国内外几款常见的协作机器人，机器人基于感知信息的控制、高精度跟踪控制、交互控制等智能控制方法，并围绕机器人与人执行协作任务的高效性，对机器人的人类意图估计和技能学习方法进行了讨论。最终对协作机器人未来的发展方向进行了展望。,"协作机器人,智能控制,人机交互,机器人技能学习,人类意图估计"
中国非开挖水平定向钻进装备与技术研究应用进展,"孙平贺,刘伟胜,杨涵涵,韦帮第,夏余宏烨",从非开挖水平定向钻进（Horizontal directional drilling，HDD）装备技术、地下生命线工程的探测与信息化、双向对穿HDD技术、大口径HDD技术、HDD回拖力计算模型、地表变形与冒浆6个方面开展了文献调研工作，分析了HDD装备与技术研究应用进展：世界上最大回拖力（20000 kN）的电驱动钻机被设计并研发；电磁感应法被广泛用于既有生命线的空间探测，复杂干扰下的数据解析与精度提高仍是研究重点；基于三维数据，融合建筑信息模型、人工智能、大数据等技术，借鉴美国“811”体系，局部完成了地下生命线的信息化；采用对穿技术完成了长距离的地下生命线敷设；基于过程化的HDD工艺参数、设备参数和控制监测技术被大量应用，有效提升了应用中的风险识别能力；针对不同地层条件下的回拖力计算为设备选型提供了依据，并为HDD多学科融合研究提供了途径；复杂地质条件下的冒浆、卡钻等热点和难点也得到初步探索研究，构建了理论、实验和数值分析模式，为提高HDD的应用效率和质量提供了依据。综合国内外研究进展，进一步分析了HDD的发展趋势。,"非开挖,生命线工程,地下工程,钻探技术,风险控制"
5G环境下基于深度学习的云化PLC物料识别与定位系统,"付美霞,王健全,王曲,孙雷,马彰超,张超一,管婉青,李卫",为了解决智能制造领域中云化控制与视觉分选应用相结合的问题，提出了基于深度学习的云化可编程逻辑控制器（Programmable logic controller，PLC）物料识别与定位系统，并在端到端5G与时间敏感网络（Time sensitive networking，TSN）传输网络环境下，实现了对云化PLC架构和控制功能有效性的验证。首先，将传统PLC系统控制功能容器虚拟化，实现PLC的本地和云端自由部署；其次，在云端设计人工智能学习平台，采用基于You only look once v5 （YOLOv5）的目标检测算法实现物料的定位和分类，获取目标的像素坐标和类别信息；然后，利用相机标定方法把像素坐标转换成物理世界坐标，并将目标类别、坐标、时间戳信息传输到云化PLC；最后，在5G和TSN融合网络环境下，实现云化PLC对天车设备的实时控制与复杂计算功能整合。结果表明，该系统能够有效的对多天车进行协同控制，物料定位均值平均精度（Mean average precision，mAP）达到99.65%，分选准确率达到96.67%，平均消耗时间225.99 s，满足工业低时延、高精度的视觉分选需求。,"智能制造,视觉分选,深度学习,云化可编程逻辑控制器,5G,时间敏感网络"
基于学习机制的多智能体强化学习综述,"王若男,董琦",强化学习作为人工智能领域的重要分支，以其在多智能体系统决策中的卓越表现，成为当前主流方法. 然而，传统的多智能体强化学习算法在面对维度爆炸、训练样本稀缺和难以迁移等方面仍然存在困难. 为了克服这些挑战并提升算法性能，本文从学习机制的角度入手，深入研究学习机制与强化学习的深度融合，以推动多智能体强化学习算法的发展. 首先，介绍了多智能体强化学习算法的基本原理、发展历程以及算法所面临的难点. 随后，引入了基于学习机制的多智能体强化学习方法这一种新兴方向. 这些学习机制，如元学习和迁移学习，被证明可以有效提升多智能体的学习速度，并缓解维度爆炸等问题. 按照课程学习、演化博弈、元学习、分层学习、迁移学习等学习机制在多智能体强化学习中的应用进行了综述，通过罗列这些方法的研究成果，论述了各种方法的局限性，并提出了未来改进的方向. 总结了这类融合算法在实际应用中取得的提升成果和实际应用，具体列举了基于学习机制的多智能体强化学习算法在交通控制、游戏领域的实际应用案例. 同时，对这类融合算法未来在理论、算法和应用方面的发展方向进行了深入分析. 这涵盖了对新颖理论的探索、算法性能的进一步优化，以及在更广泛领域中的推广应用. 通过这样的综述和分析，为未来多智能体强化学习算法的研究方向和实际应用提供了有益的参考.,"强化学习,多智能体博弈,学习机制,课程学习,演化强化学习"
岩石爆破基础理论研究进展与展望Ⅰ—本构关系,"杨阳,杨仁树,陈骏,方士正,李炜煜,范子儀,张祥,朱锐,张渊通,杨欢,王雁冰",岩石爆破技术在国民经济建设中发挥着重要作用，尤其在资源开采、基础设施建设等领域. 本文对岩石爆破本构关系进行了深入研究和探讨，在传统本构关系研究的基础上，提出了本构关系1.0、2.0和3.0的演化阶段，分别探讨了矛盾关系、能量平衡以及最小作用量理论. 本构关系1.0从岩石与爆炸、冲击荷载的相互作用出发，强调了矛与盾的关系，重点分析了岩石材料的动态力学响应；本构关系2.0以能量为切入点，将含有节理裂隙、层理和腔体等缺陷以及显著各向异性的岩石视为复杂结构材料，研究荷载输入能量与材料破坏所需能量之间的动态平衡关系，解析结构强度与输入能、耗散能及可释放应变能之间的关联；本构关系3.0关注爆炸荷载下应力波的传播规律及其与介质破坏效应的关系，特别是通过最小作用量理论来优化能量的传播路径，提高炸药能量的利用效率. 这些理论不仅揭示了岩石在不同荷载条件下的力学行为，还为优化爆破设计和改善爆破效果提供了理论依据. 同时，本文结合人工智能和大数据技术，提出了岩石材料工程基因的概念，通过建立岩石基因库，系统化管理岩石的物理力学参数，构建性能预测模型，提升了对岩石特性的理解和工程应用的精确度. 未来，岩石材料基因库有望在矿产资源开发、地质灾害防治和基础设施建设等领域发挥更大的作用，推动工程技术的发展和应用.,"岩石爆破,本构关系,矛盾关系,能量平衡,最小作用量"
复杂天气下车载激光点云目标检测方法综述,"武雨田,李擎,孙文蔚,王恒,王巍然",随着传感器、数据处理、视觉感知、控制决策、人工智能等自动驾驶相关技术的不断发展，自动驾驶成为汽车行业未来发展的重要方向之一. 但是，以雨、雾、雪等复杂天气为典型代表的极端驾驶环境，对自动驾驶环境感知提出了严峻挑战. 随着激光雷达（Light detection and ranging，LiDAR）在汽车上得到广泛运用，基于车载激光点云的目标检测已成为自动驾驶环境感知的重要研究方向之一，但在复杂天气条件下，LiDAR探测生成的点云存在大量噪点，对目标检测的性能产生严重负面影响. 对此，本文首先归纳了点云目标检测的基本定义、任务方法和评测指标，然后分析了复杂天气对点云目标检测的影响，并从数据增强、点云去噪、域自适应以及传感器融合等四个方面，系统分析了复杂天气下基于车载激光点云的目标检测方法及其优缺点，最后探讨了当前存在的数据规模与真实性不足、模型结构复杂、数据分布不均匀、实际部署瓶颈等问题以及未来研究方向.,"激光雷达,目标检测,自动驾驶,复杂天气,深度学习"
耐候钢锈层在大气环境中的防护机制及其稳定化处理技术,"高君懿,徐玮辰,张斌斌,李灿明,李国宝,侯保荣",耐候钢能够自发形成具有防护作用的锈层. 稳定致密且贴附表面的锈层能够有效地阻碍腐蚀介质与基体的接触，可在自然环境中发挥优异的耐腐蚀性. 本文从锈层结构、锈层成分和形成机制等方面对耐候钢的锈层保护性能进行了阐述，讨论了初期锈层的形成过程，明确了锈层复层结构的精细划分以及各层腐蚀产物对耐候钢耐蚀性的实际贡献. 详细分析了合金化元素、环境因素（盐度、温度、湿度、辐照等）对保护性锈层形成和稳定化的影响机制，明确了传统的Cr、Cu、Ni等合金元素以及Sn、Mo、稀土元素等其他元素对有效腐蚀产物的形成、锈层形核、锈层致密性或粘结强度等的作用机制. 目前针对锈层耐蚀性的研究工作正在向人工智能、先进传感器和大数据技术等新兴领域扩展，但在复杂大气环境（如海洋–工业大气复合环境）对锈层形成的作用机制、多种合金元素共存的影响等方面还存在明显不足. 更重要的是，由于完整稳定锈层的形成条件苛刻，在恶劣环境中甚至难以形成保护性锈层，仍然需要相应的防护措施. 详细讨论了现有的锈层稳定化处理技术，从涂膜技术、喷淋技术、锈层表面重构技术等方面阐述了现有的主要技术路线，对提升耐候钢的可靠性、稳定性和适用性具有重要意义，高效环保的锈层稳定化处理技术将是未来重要的发展方向之一.,"耐候钢,大气腐蚀,锈层,合金化元素,环境,锈层稳定化处理"
基于参数惩罚和经验回放的材料吸声系数回归增量学习,"王弘业,钱权,武星","材料数据具有分批次、分阶段制备的特点，并且不同批次数据的分布也不同，而神经网络按批次学习材料数据时会存在平均准确率随批次下降的问题，这为人工智能应用于材料领域带来极大的挑战。为解决这个问题，将增量学习应用于材料数据的学习上，通过分析模型参数的变化，建立了参数惩罚机制以限制模型在学习新数据时对新数据过拟合的现象；通过增强样本空间多样性，提出经验回放方法应用于增量学习，将新数据与从缓存池中采样得到的旧数据进行联合训练。进一步地，将所提方法分别应用在材料吸声系数回归和图像分类任务上，实验结果表明采用增量学习方法后，平均准确率分别提升了45.93%和2.62%，平均遗忘率分别降低了2.25%和7.54%。除此之外，还分析了参数惩罚和经验回放方法中具体参数对平均准确率的影响, 结果显示平均准确率随着回放比例的增大而增大，随着惩罚系数的增大先增大后减小。综上所述，本文提出的方法能够跨模态、任务进行学习，且参数设置灵活，可以根据不同环境和任务进行变动，为材料数据的增量学习提供了可行的方案。","材料数据,神经网络,增量学习,参数惩罚,经验回放"
Web 3.0概念、内涵、技术及发展现状,"徐蕾,李莎,宁焕生",Web 3.0作为人类所期待的下一代互联网受到了学术界、产业界等广泛关注，本文从不同国家（包括政策、公司和产品）、国际组织（ITU、IEEE、IET、W3C）和数据库（Scopus、CNKI）出版物数量角度分析了Web 3.0的发展历程以及发展现状，得出Web 3.0中的基础技术仍然是制约其发展的瓶颈.本文对Web 3.0中的基础技术深入剖析，从网络与计算技术（5G、6G、物联网、云计算、边缘计算及端计算），安全可信技术（区块链技术、隐私计算、身份管理技术），虚实融合技术（虚实交互技术、IoX、跨链技术），智能交互技术（语义网、大数据与数据挖掘、人工智能）四个维度进行阐述.最后对未来Web 3.0在经济、社会、文化方面引起的变革进行了总结.目前无论基于是信息技术升级的需求，还是走出疫情困扰持续低迷的全球经济需求，都需要Web 3.0为经济、科技、文化、社会的变革注入新动能.,"Web 3.0,网络与计算,安全可信,虚实融合,智能交互"
微细粒矿物浮选捕收剂的应用及其机理研究进展,"常自勇,李玉娇,沈政昌,邹来昌,王乾坤,孙忠梅,王化军",详细阐述了常用微细粒矿物浮选捕收剂的分类以及组合捕收剂的应用，对单一捕收剂和组合捕收剂在矿物表面的作用机理进行了系统的归纳总结. 微细粒矿物浮选捕收剂可大致分为硫化矿捕收剂和氧化矿捕收剂，依据其主要成分可进一步分为阳离子型捕收剂、阴离子型捕收剂、非离子型捕收剂、生物捕收剂和纳米粒子捕收剂，作用机理主要包括静电相互作用、螯合作用、氢键作用、化学键合以及金属离子配位调控分子组装等. 组合捕收剂对微细粒矿物的浮选效果往往优于单一捕收剂，不同捕收剂间的协同作用主要包括共吸附、电荷补偿、功能互补以及改变临界胶束浓度等. 未来应加强基于计算化学和人工智能的新型捕收剂药剂分子结构设计、纳米粒子捕收剂的研发以及新型绿色环保捕收剂的开发与利用.,"浮选捕收剂,微细粒,组合捕收剂,纳米捕收剂,作用机理"
