标题,作者,摘要,关键词
基于知识工程的智能优化软件系统IOPS,"翁海珊,陈立周","根据知识工程理论研究了一种智能型的优化设计软件系统IOPS。该系统集成了连续、离散、随机变量的14种优化算法程序,并通过模型诊断、算法选择、多目标决策、参数设计等专家系统的并行操作,实现了优化设计过程自动化。","优化设计,算法程序,知识工程,智能软件系统"
知识“溶化”技术及无搜索快速求解智能系统的建立,"郑德玲,李擎",介绍了一个模糊神经网络专家系统.研究了知识的“溶化”技术，即导入算法、无搜索快速推理、寻出算法，井对用三分法确立输入变量隶属函数及模糊规则求精作了有益的研究.用以上理论对连续推钢式加热炉进行控制，控制效果较为理想.,"神经网络,专家系统,知识溶化技术,过程控制"
神经网络专家系统的状态识别、知识表示和求解策略,"郑德玲,李育晖","将神经网络与人工智能技术相结合,提出了1种新型的知识表示的形式化描述和知识单元。知识通过模式分类导入,并用IMSBP和(B-B)BP调节2种不同类型的权。在此基础上提出了神经网络的双向求解策略。以加热炉控制验证了其可行性。","专家系统,神经网络,状态识别,自学习"
基于零知识证明的智能合约投票系统设计与实现,"殷红建,朱岩,王静,郭光来,陈娥",作为一种具有法律约束力的程序，智能合约为电子投票系统提供了可信执行平台．然而，由于合约部署在公开透明的区块链上，这将为投票内容的有效性与隐私性带来巨大威胁．为了解决上述问题，基于交互式零知识证明技术设计了智能合约投票系统．首先，提出了一个新的交互式零知识集合成员关系证明协议，使得投票者在不泄露投票内容的前提下，完成对投票内容有效性的验证，从而避免无效选票对投票系统的影响．其次，本文通过智能合约规范语言SPESC对投票合约进行描述并对投票各个阶段的触发条件进行限定，通过将合约以JAR包形式上传至区块链，实现智能合约投票系统的部署和自动化执行．最后，对智能合约投票系统的性能进行分析，实验结果表明该系统投票和计票阶段均可高效实施，为密码协议构造技术与智能合约投票系统的有效结合提供参考．,"零知识证明,智能合约,投票系统,同态加密,隐私保护"
建立实用故障诊断专家系统知识库的新方法,"高立新,徐金梧","本文在建立预测树的基础上,首次提出将图形化规则语言与预测树技术相结合。使用这种方法.可以方便而有效地建造现场诊断知识库。并以建立轴承疲劳试验故障诊断专家系统知识库为例,说明了其具体应用。","专家系统,知识库,图形化规则语言,上下文树,轴承"
具有先验知识的前馈网络规划模型在海水腐蚀预测中的应用,"杨晓明,谢铁军,熊丽清,戴明安,朱相荣","应用具有先验知识的前馈网络模型研究海水环境与材料(钢)腐蚀之间对应关系.结果表明该模型能够很好地揭示材料海水腐蚀规律,提高了预测准确度.","海水腐蚀预测,先验知识,前馈网络模型"
专家知识增强的机器学习建模在高强高导铜合金开发中的应用,"苗海宾,向朝建,刘胜楠,黄东男,娄花芬",材料领域数据具有小样本、噪声大、维度高、关系复杂、专家知识丰富的特点. 利用专家知识增强机器学习建模效果具有必要性和可行性. 本文通过计算自变量与因变量之间的秩相关系数，来定量描述成分状态因素与性能之间单调关系的强弱. 在模型训练过程中，将秩相关系数加入到神经网络损失函数，实时评估模型输出与专家知识的相符程度，得到了专家知识增强的机器学习模型. 对训练过程分析后发现，模型输出的合理性有显著提升，模型的输入输出规律与专家知识的相符程度达到了0.98以上（1.0为完全相符）. 基于所建模型，采用遗传算法进行了关于强度和导电率的多目标优化，找到了满足帕累托最优的高强高导铜合金成分并开展了实验验证. 实验结果表明，强度在高达637 MPa的同时，导电率仍能保持在77.5% IACS（国际退火铜标准）的水平；导电率高达80.2% IACS的同时，强度仍能保持在600 MPa的水平. 强度和导电率的预测值与实际值误差在5%以内.,"专家知识,高强高导,机器学习,铜合金,多目标优化"
在管道支吊架CAD中采用人工智能技术,余国海,"本文介绍了用TURBOPROLOG语言将人工智能技术用于吊架CAD系统,其中关于知识库的设计和知识库的搜索等问题,还用源程序作了详细说明。","计算机辅助设计,专家系统辅助设计,人工智能,计算机应用"
故障诊断专家系统,"王大东,徐金梧",本文介绍一种用于诊断轴承、齿轮(在线或离线)故障的专家系统FDES(A Failure Diagnosis Expert System)。该系统由征兆获取模块、知识获取、知识库管理、元知识自动生成、推理机、解释、人机接口7个基本模块组成。这7个模块可实现自动、精密两级诊断过程。系统采用模糊诊断方法。在推理中采用黑板结构控制下正、反向相结合的推理机制。,"专家系统,模糊诊断,黑板结构,故障诊断,元控制"
故障诊断·机械设计综合专家系统,翁海珊,"运用人工智能(AI)理论和知识工程技术,使传统的设备故障诊断系统成为基于深知识的知识中心型专家系统。它与机械设计专家系统利用同样的对象模型及其阶层构造和性能框架,在进行设计推理,探索最优设计方案的同时,从深知识推导出诊断故障所需的因果关系,寻找设备的故障及其原因所在,从而使原本各自独立存在、独立运行的两类专家系统融成一体,形成故障诊断,机械设计综合专家系统。","知识工程,专家系统,故障诊断,机械设计,深知识"
高炉炉缸炉底侵蚀判断模型,"杨尚宝,杨天钧,董一诚","基于对炉缸炉底衬砖破损机理的分析,采用有限元法建立了炉缸炉底侵蚀判断数学模型。该模型用于推定炉缸炉底的1150℃等温线(侵蚀参考线),并结合知识库中的操作知识对护炉操作进行指导,以维护合理的操作炉型.","高炉,炉衬,传热计算,有限元法"
DiaRAG：面向糖尿病领域的智能问答系统,"杨涛,欧阳纯萍,余颖,万亚平","为了满足糖尿病领域对智能问答系统高效性与专业性的双重需求，本文设计并实现了融合知识图谱与检索增强生成（Retrieval augmented generation, RAG）的糖尿病领域智能问答系统——DiaRAG. 该系统提出了一种自动提示生成方法（Auto prompt generation, APG），能够自动生成适用于糖尿病领域的提示模板，用于提取糖尿病知识图谱并构建检索知识库. 同时，通过提示学习对病患提出的问句进行校正，有效解决了复杂问句中的语义和语法偏误问题. 此外，本文设计了微调排序模型（Fine-tuned reranker），对糖尿病知识图谱的社区摘要进行二次过滤，以确保检索结果与病患提问意图的高度契合. DiaRAG系统通过深度融合知识图谱与大语言模型（Large language model, LLM），充分利用外部知识库，从而显著提升了糖尿病领域知识的问答能力. 实验结果表明，DiaRAG在问答准确性、社区摘要相关性等方面均显著优于现有系统，为糖尿病个性化知识服务提供了创新性解决方案.","糖尿病,智能问答系统,知识图谱,检索增强生成,提示工程,微调排序模型"
一种新型的无搜索求解策略,"郑德玲,谭跃华","提出一种基于模糊逻辑和神经网络的专家系统,它是一种集信息表达,生成与求解为一体的新型求解系统,本系统的核心——学习推理网,网络的知识表达是分布的,可实现并行推理。不需要进行搜索和匹配。","专家系统,模糊逻辑/神经网络,求解策略"
CBR及KDD技术在中厚板轧制负荷分配建模中的应用,"马当先,穆志纯,王绍波,王长松","针对中厚板生产产品规格变化大、轧制条件复杂等特点,提出一种基于案例推理的负荷分配模型,并应用数据库中的知识发现技术进行案例修正,使模型更符合实际轧制情况.","负荷分配模型,基于案例的推理,数据库中的知识发现"
多语言机译系统中高质量语义单元库形成方法,"胡玥,高小宇,高庆狮","讨论构建多自然语言互译机译系统所需的高质量、可扩充、完备的、无可弃、无重复、无非正常歧义的多语统一语义单元知识库.在构建过程中采用类型特征分类方法有效降低计算复杂性,使去重复的计算量降低一半,去可弃的计算量降到O(βN)(N是语义单元库规模,β是有界数,β<C,C是常数).全部算法都可以在多核处理机上以常数效率地实现.同时讨论了语义单元的再分解和自然语言种类的增多时语义单元知识库的扩充方法.该知识库不仅用于多自然语言互译系统,还可作为自然语言理解和处理的基础知识库.","自然语言处理系统,自然语言,机器翻译,语义单元"
高炉异常炉况诊断专家系统,"杨天钧,张开旗,周渝生,左广庆,徐金梧","高炉是一个包括复杂物理化学变化和传输过程的高温反应器。由局部反应和区域热平衡、物料平衡建立的机理模型难以适应炉况的迅速变化。用模糊数学理论进行不确定知识的处理,构成了知识库和推理机,从而建立了人工智能高炉异常炉况诊断专家系统,避免了人工可能漏看忽略的仪表微小变化所造成炉况判断的偏差,因而有较高的命中率。","高炉,专家系统,人工智能,模糊数学"
图像数据库的智能检索,"吴斌,王秉钦","提出了以人工智能思想为指导的图像数据库的智能检索方法,它利用模式识别技术和图像处理技术,同时考虑启发性知识.该方法用图像特征向量代表图像并进行聚类分析以建立图像库的检索树,应用最佳优先搜索方法在检索树上找出用户满意的图像.重点探讨了如何利用专家的经验知识和通过样本训练得到启发评价函数,并推出了启发评价函数存在的条件.","图像数据库,智能检索,聚类,评价函数"
目标检测模型的类别语义和全局关系蒸馏,"梁彦鹏,马忠贵,王宗杰,李卓",知识蒸馏是一种将知识从复杂的教师模型转移到轻量级学生模型的模型压缩技术. 现有的为分类任务而设计的知识蒸馏方法在目标检测任务上的性能并不理想，仅观察到微小的改进. 与分类任务相比，目标检测任务会在自然图像中同时定位和分类多个目标对象，这些目标对象往往具有不同的尺度和外观以及复杂的类间关系，并且分布在不同的位置，导致目标中心或周围区域以及前景和背景区域等都有可能对蒸馏有不同的贡献，知识在检测任务中变得相当模糊和不平衡，这使得目标检测中的知识蒸馏变得非常具有挑战性. 为解决这个问题，本文提出一种新的基于注意力的目标检测知识蒸馏框架——类别语义和全局关系蒸馏，前者关注每个类别目标的关键前景位置，后者捕捉各类别目标像素之间的全局长远距离依赖关系. 为验证本文所提出方法的有效性和泛化性，分别在SODA10M、PASCAL VOC和MiniCOCO三个具有挑战性的数据集基准上进行了实验. 在多种目标检测器上，经过蒸馏之后的学生模型都取得了较大的性能改进. 对于RetinaNet ResNet-50，其mAP在SODA10M数据集上提升了4.67，其AP50在PSACAL VOC数据集上提升了2.64.,"知识蒸馏,目标检测,模型压缩,注意力机制,计算机视觉"
基于CART决策树的冲压成形仿真数据挖掘,"王伟,黄宇星,余鸿敏","油箱壳外形复杂,拉深成形过程中容易出现侧壁起皱和圆角处破裂的缺陷,成形工艺参数的确定非常重要.结合分类与回归决策树(classification and regression tree,CART)的人工智能技术和模型交叉验证方法,通过调用Python平台开源库Scikit-Learn对油箱壳拉深成形数值模拟结果进行知识挖掘,筛选出对油箱壳拉深成形影响大的工艺参数;以基尼指数(Gini index)最小化作为最优特征值及最优切分点选择的依据,构建了工艺参数与性能指标关系的CART决策树,提取出了可靠的工艺设计规则.油箱壳拉深实例表明,CART决策树理论的知识发现技术是实现板料成形过程数值模拟结果潜在知识挖掘的可行途径.","知识发现,数据挖掘,数值仿真,分类与回归树,主成分分析"
人才资源智能管理系统的设计,"丁左,田战强,张杰","以冶金工业部人才资源的管理问题为背景,给出了人才资源智能管理系统的具体设计方法.该系统中,广义的管理分析预测模型树用于其知识表达,系统结构由多库结构支持;在其推理机方面,应用元知识推理以协调定性推理、定量推理和人工神经网络推理.将有限的自然语言理解引入人-机界面,用TURBO PROLOG和C语言在IBM/AT微机上对该设计部分实现,表明了其合理性及可行性.","人工智能,管理/人才资源,智能管理系统"
齿轮故障诊断专家系统,"马祥华,沈水福,布昭元","在分析了以往的齿轮故障诊断方法及大量试验数据的基础上,选出了对应于各故障敏感的参量,总结归纳了齿轮故障的判据并在此基础上建立了故障诊断的专家系统,把模糊理论用以知识表示进行不精确推理;采用元知识控制下的反向推理机制并根据推理结果赋以合理的解释,该系统既能本机自动诊断又能结合其它诊断方法作精密诊断;还能兼顾在线监测与离线分析.利用该系统对齿轮试验数据进行分析、处理进而推理、诊断获得了满意的效果.","齿轮,故障诊断,专家系统"
专家系统中的辩论求解理论框架,"吉冰溪,郑德玲","本文阐述了基于渗碳专家系统的问题求解策略.为了避免系统的主观性和片面性,提出用多黑板作为问题的求解策略,使其非公认的渗碳领域问题通过多专家进行辩论择优选出最佳解.为此提出基于多元组命题性知识的辩论理论框架和辩论算法.对此进行了计算机仿真研究,结果证明此方法是可行的.","专家系统,渗碳,仿真,推理"
基于神经网络的高炉异常炉况判断专家系统,"杨尚宝,杨天钧","采用反向传播网络作为推理机,构造了高炉异常炉况判断专家系统,该系统具有良好的自学习功能和联想记忆功能.系统采用离线学习方式,在线运行时,可将高炉操作实绩存入知识库,作为进一步学习的样本,从而提高了系统精度和联想能力.","高炉,专家系统,神经网络,自学习"
故障模糊诊断专家系统FFDES,"孙民生,陈济平","完成了一个故障模糊诊断专家系统(Fault Fuzzy Diagnose Expert System).FFDES由知识库维护、故障诊断、诊断解释、列表打印4个基本模块组成,此系统基于模糊数学中的模糊变换的原理建立推理诊断机制,经实例考察,结果满意.","模糊关系,故障诊断,专家系统"
天车调度在优化钢厂物流管制中的重要作用,"刘青,田乃媛,王英群,唐洪华,侯文义,李烈军","运用物流学中装卸搬运的知识,归纳了现代制造流程中运输环节的功能和作用,分析了炼钢厂物流系统中天车作业的特点,并对钢厂时间因素和生产工艺进行了研究与分析,从中可知天车调度在优化钢厂物流管制中的重要作用。","物流管制,天车调度,时间因素,装卸搬运,运输"
数据挖掘在岩质边坡稳定性预测中的应用,"张治强,蔡嗣经,马平波","提出了一种预测岩土边坡稳定性的方法.利用数据挖掘的方法从边坡实例数据中挖掘出知识,在此基础上建立岩质边坡稳定性预测的智能模型系统.该系统可以根据获得的现场测试和监测资料,对边坡的稳定性进行较好的预测和估计.","数据挖掘,边坡,稳定性"
高炉异常炉况判断专家系统及神经网络的实现,"程冬超,王顺晃,林克真","提出高炉异常炉况判断专家系统原理及实现方法.针对一般专家系统知识获取""瓶颈""现象,引入神经网络实现高炉异常炉况判断.仿真结果表明,这种方法实用可行,为高炉异常炉况判断采用神经网络实现提供了1个很好的实例.","专家系统,高炉,神经网络,模糊逻辑"
复合功能的机械运动方案设计专家系统,"于晓红,邱丽芳,魏东,卢彩容",介绍了具有复合功能的机械运动方案设计专家系统，该系统具有完整的机构知识体系和比较合理的机构推理及评价系统，可以对单一功能的机构和具有多个分功能要求的机构系统，通过初选、中选、评价、复合等过程得出优选方案．,"运动方案设计,选型,复合功能"
炼钢–连铸区段的协同智造,"刘青,兰模,信自成,张江山",在阐述炼钢–连铸区段协同智造技术架构的基础上，本文从工序/装置的过程制造到炼钢–连铸区段制造进行了较为系统的建模研发，首先，在工序/装置层构建了转炉炼钢、钢包精炼和连铸的工艺控制模型；其次，在工序衔接层和生产计划与调度层构建了多工序协调控制模型，并通过研发关键工序工艺控制模型、生产计划与调度模型、制造执行系统（MES）同动态知识图谱和数字孪生系统之间的数据接口，实现了MES与生产工艺、流程运行、生产计划与调度之间的有机融合与动态协同，以及认知知识图谱的自主进化和虚拟空间孪生体的可视化运行；最后，完成了从炼钢–连铸区段工序/装置层到计划与调度层再到系统综合层最终到认知知识图谱和数字孪生系统的全方位建模研发. 通过机理模型、数据模型与专家知识的协同驱动和虚实模型间的双向交互联动，以及多工序的横向协同与多层级之间的纵向协同，实现了炼钢–连铸区段的协同运行与动态决策. 本文从炼钢−连铸流程全局出发进行了系统创新与实践，研究成果对冶金工业高端化、智能化、绿色化发展具有重要的参考价值，对流程工业企业智能制造也有很强的借鉴意义，可为钢铁工业发展新质生产力、解决“卡脖子”问题提供强有力支撑.,"炼钢–连铸区段,工艺模型,生产运行模式,计划与调度,运行评价,数据接口,协同控制,动态决策"
25t转炉自适应静态模型动态化控制,"夏升华,余达太,曹同乐","针对中小转炉不宜增设副枪检测、无法进行动态控制的实际状况,提出了自适应静态模型动态化控制的思想:首先建立自适应终点静态控制模型;然后根据枪位-加料模型进行吹炼并启动动态化控制知识库,修正枪位-加料模型及控制量,最后启动预报模型进行终点预报指导出钢,根据实际吹炼数据验证,终点控制模型具有良好的跟踪性,终点预报模型的终点C,T命中率分别达到68%和63%。","转炉,静态控制模型,动态化控制"
复杂过程分析的模糊聚类分类器设计及其性能,"郑慧民,倪涛,孙铁,瞿寿德","本文采用模式识别方法推断烧结矿质量。在给出模糊系统聚类分析算法基础上,用软件实现了基于模糊聚类分类器和动态聚类分类器,并用现场实测的样本采用""留一法""分别对这两种分类器性能进行检验。结果表明:模糊聚类分析法对于先验知识较少、样本量不大时,性能较佳。","模糊聚类分析,分类器,设计,性能/模式识别,动态聚类分析"
楔横轧模具加工特征排序,"杨宏青,王宝雨,杨翠苹,胡正寰","在楔横轧模具CAD/CAPP集成化信息模型基础上,应用基于知识的创成式工艺决策方法和VC++面向对象编程技术构造了楔横轧模具加工特征排序算法.通过合理安排模具工艺决策各阶段的子任务和构造相应的约束,保证生成模具工艺路线的可行性和灵活性.同时针对典型楔横轧模具进行实例分析,验证该加工特征排序方法的实用性.","楔横轧模具,CAPP,加工特征排序"
一种人工免疫应答模型的研究及应用,"位耀光,郑德玲,周颖,王英,付冬梅","提出一种基于生物免疫应答机理的人工免疫应答模型.它包括抗原匹配、克隆选择、变异、亲和力成熟等四个过程,通过克隆、变异过程实现抗体的多样性使所建立的系统具有较好的自适应能力,利用亲和力成熟过程完成知识的学习和积累.该模型具有运行参数少,稳定性好的特点,在提高数据压缩率和识别率方面具有较好的效果.","人工免疫系统,免疫应答,克隆,变异,数据分析"
基于神经网络预报的烧结矿化学成分控制专家系统,"龙红明,范晓慧,陈许玲,姜涛,石军,宋清勇,羊小东","采用带动量项的线性再励自适应变步长BP神经网络算法,建立了基于多周期运行模式的烧结矿化学成分预报模型;使用基于数据库技术的知识库和正向推理的推理机,开发了化学成分控制专家系统.系统自投入运行以来,预报模型命中率稳定在90%以上,操作指导建议采纳率达到92%,实现了对烧结矿化学成分的稳定控制.","烧结矿,化学成分,BP模型,知识库,专家系统"
基于生物免疫系统克隆选择机理和免疫网络理论的免疫算法,"位耀光,郑德玲,付冬梅,周颖","提出一种基于生物免疫系统克隆选择机理和免疫网络理论的免疫算法.该算法通过抗体的克隆选择和变异过程,完成对入侵抗原的清除,实现免疫防御的功能;利用免疫网络调节的思想选择抗体记忆细胞,完成知识的学习和积累,实现免疫自稳的功能;利用所建立的抗体记忆矩阵实现对类似入侵抗原的快速应答,行使免疫监视识别功能.该算法利用生物变异机制实现抗体的自适应调节,使系统具有自适应、自学习能力.在加热炉状态识别的应用研究表明,本文所提出的算法在解决数据识别方面具有较好的效果.","人工免疫,克隆选择,自适应,模式识别"
基于扫描向量的属性约简方法,"鄂旭,高学东,喻斌","针对粗糙集理论中属性约简问题,提出了一种基于扫描向量的属性约简方法.根据粗糙集理论知识,定义了一个新概念——差别向量,利用差别向量将信息表转换成差别向量组;根据差别向量的结构特征,定义了差别向量加法法则;运用这个加法法则仅需对差别向量组扫描一次,就可以形成结构简洁却能代表原信息表属性特征的扫描向量.以扫描向量中的属性频率项作为属性约简搜索的启发信息,提高了属性约简效率.数值实例及数据库测试的结果表明该属性约简算法是有效可行的.","粗糙集,信息表,属性约简,差别属性集,扫描向量"
自适应多尺度形态学分析及其在轴承故障诊断中的应用,"章立军,徐金梧,阳建宏,杨德斌","为解决强背景信号下冲击特征的提取问题,提出了一种自适应多尺度形态学分析方法.对于实际的待分析信号,分别定义长度尺度和高度尺度来确定多尺度形态学分析的结构元素,并基于信号的局部峰值实现自适应多尺度形态学分析.数值仿真实验分析表明,自适应多尺度形态学分析方法较单尺度形态学分析方法更利于提取信号的形态特征,避免了单尺度形态学分析在结构元素选择时的盲目性和对相关先验知识的依赖性.本文所提出的方法应用于轴承故障诊断,结果表明这种方法可以清晰地提取出各种特征信号.","轴承,故障诊断,自适应,多尺度,形态学分析"
自适应遗传算法在移动机器人路径规划中的应用,"李擎,冯金玲,柳延领,周洲,尹怡欣","将一种自适应遗传算法应用于移动机器人路径规划.提出了一种基于几何避障法的初始种群产生算法;设计了基于启发式知识的交叉、变异、求精和删除算子;采用一种新的模糊逻辑控制算法自适应地调节交叉概率和变异概率;对移动机器人离线和在线规划问题进行了仿真研究.仿真结果表明:自适应遗传算法具有较快的搜索速度、较高的搜索质量以及较强的自适应能力,为移动机器人最优路径规划问题的解决提供了一种新方法.","移动机器人,最优路径规划,自适应,遗传算法,模糊控制"
基于非结构化数据挖掘结构模型的Web文本聚类算法,"胡健,杨炳儒,宋泽锋,钱榕","在非结构化数据挖掘结构模型——发现特征子空间模型(DFSSM)——的运行机制下,提出了一种新的Web文本聚类算法——基于DFSSM的Web文本聚类(WTCDFSSM)算法.该算法具有自稳定性,无须外界给出评价函数;能够识别概念空间中最有意义的特征,抗噪声能力强.结合现代远程教育网应用背景实现了WTCDFSSM聚类算法.结果表明:该算法可以对各类远程教育站点上收集的文本资料信息自动进行聚类挖掘;采用网格结构模型,帮助人们进行文本信息导航;从海量文本信息源中快速有效地获取重要的知识.","Web文本挖掘,文本聚类,聚类评价,非结构化数据挖掘结构模型"
