标题,作者,摘要,关键词
基于深度学习的高超声速飞行器执行器零样本故障辨识,"曹芳菲,朱怀石,杜长坤,路平立",近年来，基于深度学习的故障诊断已经通过大量数据进行了深入的研究. 然而，深度学习技术的巨大成功是基于可以获取大量带标签的训练样本的假设. 在实际问题中，经常面临数据不平衡、标记的数据太少或没有数据的情况. 基于此，本文研究了高超声速飞行器在零样本情况下的故障辨识问题. 考虑飞控系统执行器故障，运用深度学习技术来识别特定故障类型（失效故障或卡死故障）. “零样本”指的是在故障诊断的深度学习模型构建中，未曾包含或引入任何与目标故障相关的样本数据. 因此，该模型必须依赖于其他方法和特征来推断和准确识别这些未知故障，以实现有效的故障辨识. 针对这一问题，使用人工定义的故障描述来表征未知故障. 具体而言，即利用关系网络学习将已知故障样本与定义的未知故障描述进行比较. 进一步，为实现特征提取，结合卷积神经网络及长短期记忆神经网络，构建深度神经网络结构. 最后，在Winged-cone (翼椎体)构型的高超声速飞行器上进行零样本故障辨识实验，结果表明在没有目标故障样本的情况下，所设计的算法可以完成对目标故障的诊断工作.,"高超声速飞行器,故障识别,执行器故障,零样本,关系网络"
无人集群系统深度强化学习控制研究进展,"梁鸿涛,王耀南,华和安,钟杭,郑成宏,曾俊豪,梁嘉诚,李政辰",随着无人集群在物流运输、农业管理、军事行动等场景的试验和应用，其面临的作业环境和任务内容日趋复杂，亟需设计效率更高、泛化能力更强、适应性更好的控制算法. 将人工智能引入到无人集群系统控制的研究中，能够大幅提升现有无人集群的能力，完成复杂的作业任务.深度强化学习具有深度学习和强化学习的优点，无人集群系统深度强化学习控制研究受到了国内外科研人员的广泛关注，涌现出许多标志性成果. 本文将从原理、特点等方面阐述深度强化学习概念，深入分析深度强化学习的多种典型算法，并讨论无人机集群的各类控制需求，进而介绍深度强化学习在无人机集群控制领域的典型研究成果，最后针对该领域研究成果的落地转化总结了应用前景和面临的挑战.,"无人集群,集群控制,深度强化学习,多智能体,人工智能,集群智能"
文本生成领域的深度强化学习研究进展,"徐聪,李擎,张德政,陈鹏,崔家瑞",谷歌的人工智能系统（AlphaGo）在围棋领域取得了一系列成功，使得深度强化学习得到越来越多的关注。深度强化学习融合了深度学习对复杂环境的感知能力和强化学习对复杂情景的决策能力。而自然语言处理过程中有着数量巨大的词汇或者语句需要表征，并且在对话系统、机器翻译和图像描述等文本生成任务中存在大量难以建模的决策问题。这使得深度强化学习在自然语言处理的文本生成任务中能够发挥重要的作用，帮助改进现有的模型结构或者训练机制，并且已经取得了很多显著的成果。为此，本文系统阐述深度强化学习应用在不同的文本生成任务中的一些主要方法，梳理其发展的轨迹，分析算法特点。最后，展望深度强化学习与自然语言处理任务融合的前景和挑战。,"深度强化学习,自然语言处理,文本生成,对话系统,机器翻译,图像描述"
基于图卷积深度强化学习的协同空战机动决策方法,"欧洋,郭正玉,罗德林,缪克华",针对多无人机智能协同空战对抗决策问题，提出了一种基于长短期记忆与竞争图卷积深度强化学习的多机协同空战机动对抗决策方法. 首先，对多机协同空战对抗问题进行描述；其次，在竞争Q网络中，引入长短期记忆网络用于处理带有强时序相关性的空战信息，接着，搭建图卷积网络作为多机之间的通信基础，提出基于长短期记忆与竞争图卷积深度强化学习算法的协同空战训练框架，并对协同空战决策训练算法进行了设计. 二对一空战仿真结果验证了本文所提出的协同智能对抗决策方法的有效性，其具有决策速度快、学习过程稳定的特点以及适应空战环境快速变化下的协同策略学习能力.,"无人机,深度强化学习,机动决策,多机协同,空战决策"
车联网环境下基于深度强化学习的多DAG应用部分卸载,"徐建,苏圣超,汪义旺","针对边缘计算环境下车联网中多个有向无环图（Directed acyclic graph, DAG）型应用的部分卸载问题，本文提出了一种基于深度强化学习的部分卸载算法. 首先，以最大化时延能耗的综合效用为目标，构建了DAG应用的部分卸载模型；然后，采用执行优先级算法将DAG应用转化为序列结构，用于确定DAG应用中各子模块的执行优先级. 基于此，设计了基于递归神经网络（Recurrent neural networks, RNNs）的序列到序列策略网络. 最后，将多DAG应用的部分卸载问题转换为单DAG应用的部分卸载问题，并基于深度强化学习实现多个DAG型应用的部分卸载. 实验结果表明，在相同的卸载场景下，所提算法实现的综合效用优于基线算法，提高了车联网的服务质量.","车联网,有向无环图,计算卸载,深度强化学习,部分卸载"
基于深度强化学习算法的纯电动矿用汽车再生制动策略研究,"杨威威,罗登昊,张文明",以载重50 t纯电动矿用汽车为研究对象，提出了一种基于深度强化学习优化算法的再生制动回馈策略. 首先建立了纯电动矿用自卸车的数学模型. 随后提出了一种考虑载重和坡度变化的基于自动熵调节Soft actor-critic (SAC)和深度确定性策略梯度算法（DDPG）的能量管理策略. 其中车速、加速度、车辆质量与道路坡度、动力电池荷电状态（SOC)及充放电倍率作为状态变量；变速箱挡位作为动作变量；动力电池SOC及电池寿命作为奖励函数. 仿真结果表明，基于动态规划的控制策略和所提出的基于SAC算法与基于DDPG算法的优化控制策略回馈效率分别提高了18.15%、17.18%和16.63%，电池寿命分别提升了57.31%、56.87%和57.38%. 最后通过比较两种基于深度强化学习算法策略的奖励曲线，可以看出与基于DDPG算法的控制策略相比，所提出的基于SAC的能量管理控制策略的收敛速度提升了166.7%.,"纯电动矿用汽车,再生制动,电池寿命,控制策略,强化学习"
基于深度强化学习的无人机集群数字孪生编队避障,"张宇宸,段海滨,魏晨",无人机集群在各个领域中扮演着重要角色，具有丰富的应用场景。然而，将深度强化学习方法应用于自主无人机面临着诸多严峻挑战。本文基于多智能体深度强化学习，通过使用局部信息建立单个无人机的状态空间，并使用多智能体近端策略优化（Multi-agent proximal policy optimization，MAPPO）的在线策略算法来训练策略网络，从而克服了环境的不确定性和对全局信息的依赖. 同时，引入了数字孪生的概念，为资源紧张型算法提供了新思路. 为了解决采样困难和资源紧张的问题，基于数字孪生技术，构建了一个用于无人机编队避障策略模型训练的架构. 首先，构建了多个数字孪生环境，用于强化学习算法在任务开始之前进行交互采样的预训练，以使集群具备基本的任务能力. 然后，使用在真实环境中采集的数据进行补充训练，使得集群能够更好地完成任务. 对采用这种两阶段训练架构的效果进行了对比，同时与其他策略算法进行比较，验证了MAPPO的样本效率性能. 最后，设计了实际飞行验证测试，验证了从孪生环境中获得的策略模型的实用性和可靠性.,"数字孪生,深度强化学习,无人机,编队控制,避障"
深度学习中注意力机制研究进展,"刘建伟,刘俊文,罗雄麟",对注意力机制的主流模型进行了全面系统的概述。注意力机制模拟人类视觉选择性的机制，其核心的目的是从冗杂的信息中选择出对当前任务目标关联性更大、更关键的信息而过滤噪声，也就是高效率信息选择和关注机制。首先简要介绍和定义了注意力机制的原型，接着按照多个层面对各种注意力机制结构进行分类，然后对注意力机制的可解释性进行了阐述同时总结了在各种领域的应用，最后指出了注意力机制未来的发展方向以及会面临的挑战。,"注意力机制,全局/局部注意力机制,硬/软注意力机制,自注意力机制,可解释性"
基于IPSO-GRU深度学习算法的海底管道缺陷尺寸磁记忆定量反演模型,"邢海燕,王松弘泽,弋鸣,杨健平,朱孔阳,刘超","针对海底管道缺陷磁记忆定量反演的难题，提出一种基于改进粒子群优化的门控循环神经网络模型，即IPSO-GRU模型。以两端焊有盲板的X52管道作为实验材料，其上预制有不同直径、深度的缺陷，采用TSC-5M-32磁记忆检测仪，外接11-6W非接触探头，进行水下磁记忆检测试验，提取不同缺陷尺寸的磁记忆信号特征值。考虑到磁记忆信号特征值随缺陷尺寸呈复杂的非线性变化,引入门控循环神经网络，利用其双门结构能够记忆缺陷处的信号特征，非线性回归拟合能力强的特点，构建海底管道缺陷定量反演模型，进一步考虑到模型超参数选择的随机性，采用改进粒子群算法进行超参数寻优。验证结果表明：该模型对缺陷深度反演平均精度达96%；对缺陷直径反演平均精度达93%，为海底管道缺陷的磁记忆定量化识别与反演提供了新的思路和方法。","金属磁记忆,海底管道缺陷,改进粒子群算法,门控循环神经网络,定量反演"
原子级透射电镜图像自动化分析：发展与趋势,"张一凡, 贾宇, 李长泰, 何洋",透射电子显微镜（Transmission electron microscopy，TEM）是材料科学研究的重要表征手段，能够以原子级分辨率深入探索材料的晶体或分子结构。然而，原子级TEM数据具有高噪声、多成像模式等特性，导致了人工分析的复杂性高，限制了其在大规模数据处理和自动化分析中的应用。近年来，以深度学习（Deep learning，DL）为代表的人工智能（Artificial Intelligence，AI）技术的快速发展为原子级TEM数据的自动化及智能化处理提供了新方法。本综述系统回顾了原子级TEM数据自动化分析的发展过程与最新进展，重点讨论了基于深度学习的图像质量提升、原子精准定位和表征分析方法。首先，总结了规则化和深度学习去噪技术在提高原子级图像质量方面的应用；其次，介绍了深度学习在原子定位中的突破性进展，包括利用卷积神经网络、生成对抗网络及自监督学习方法实现复杂背景下的原子精确定位；最后，探讨了基于AI的表征分析如何推动原子级材料微观结构解析、缺陷识别、相变行为等研究。此外，总结了当前技术发展面临的主要挑战，包括数据质量、模型泛化性、可解释性以及物理约束的融合问题，并以“智能电镜”为切入口，展望了未来的发展趋势。,"透射电子显微镜 (TEM),深度学习,原子定位,图像质量提升,自动化分析,材料表征"
基于环境语义信息的同步定位与地图构建方法综述,"李小倩,何伟,朱世强,李月华,谢天",同步定位与地图构建技术（SLAM）是当前机器人领域的重要研究热点，传统的SLAM技术虽然在实时性方面已经达到较高的水平，但在定位精度和鲁棒性等方面还存在较大缺陷，所构建的环境地图虽然一定程度上满足了机器人的定位需要，但不足以支撑机器人自主完成导航、避障等任务，交互性能不足。随着深度学习技术的发展，利用深度学习方法提取环境语义信息，并与SLAM技术结合，越来越受到学者的关注。本文综述了环境语义信息应用到同步定位与地图构建领域的最新研究进展，重点介绍和总结了语义信息与传统视觉SLAM在系统定位和地图构建方面结合的突出研究成果，并对传统视觉SLAM算法与语义SLAM算法做了深入的对比研究。最后，展望了语义SLAM研究的发展方向。,"视觉同步定位与地图构建技术,深度学习,系统定位,地图构建,语义同步定位与地图构建技术"
自然场景文本检测技术研究综述,"白志程,李擎,陈鹏,郭立晴",文本检测在自动驾驶和跨模态图像检索中具有极为广泛的应用。该技术也是基于光学字符的文本识别任务中重要的前置环节。目前，复杂场景下的文本检测仍极具挑战性。本文对自然场景文本检测进行综述，回顾了针对该问题的主要技术和相关研究进展，并对研究现状进行分析。首先对问题进行概述，分析了自然场景中文本检测的主要特点；接着，介绍了经典的基于连通域分析、基于滑动检测窗的自然场景文本检测技术；在此基础上，综述了近年来较为常用的深度学习文本检测技术；最后，对自然场景文本检测未来可能的研究方向进行展望。,"文本检测,场景文本,连通域分析,图像处理,统计学习,深度学习"
低轨电磁监测智能处理框架与关键技术综述,"夏瑞,王敬超,邓博于,薛超",依托低轨星座构建电磁频谱监测系统成为实现全球电磁频谱管理的有效途径与当前的研究热点。传统低轨电磁监测系统架构采用“星上采集与处理”的模式，即卫星对信号进行采集并处理后，将处理的结果回传到地面。这导致系统性能受限于单星载荷。针对此问题提出采集与处理分离的低轨电磁监测系统智能处理框架，卫星作为数据的转发节点，仅负责采集信号，地面数据中心对数据进行下一步处理。同时，针对传统技术方法难以高效处理该架构下地面数据中心海量数据的问题，将深度学习与传统架构下的关键技术进行了有机融合，为实现全球时空连续电磁频谱监测提供了新的选择。梳理了基于深度学习的频谱感知、盲源分离和无源定位三大关键技术及其近几年研究进展；重点讨论了各关键技术向星座系统迁移的适用性问题与技术核心突破问题，给出了低轨电磁监测系统智能处理框架中关键技术的下一步研究建议。,"低轨电磁监测系统,深度学习,频谱感知,盲源分离,无源定位"
三维点云语义分割：现状与挑战,"王艺娴,胡雨凡,孔庆群,曾慧,张利欣,樊彬",随着获取点云数据成本下降以及GPU算力的提高，众多三维视觉场景如自动驾驶、工业控制、MR/XR对三维语义分割的需求日益旺盛，这进一步推动了深度学习模型在三维点云语义分割任务中的发展。近期，深度学习模型在网络架构上持续创新，如RandLA-Net 和Point Transformer，并突破性地以更低的计算成本提高了分割准确率，但已有的三维点云语义分割综述介绍的研究工作包含大量早期以及被舍弃的方法，没有系统地整理这些新型高效的方法，不能很好地体现研究现状。此外，这部分综述以输入网络的不同数据类型分类各点云语义分割方法，不能有效地体现各方法的演进关系，也不利于对比不同方法的分割性能。针对以上问题，本文面向近3年的研究成果和最新的研究进展，重点归纳了三维点云语义分割中基于不同网络架构的方法、面临的挑战及潜在研究方向，并从3个层面对三维点云语义分割进行了系统地综述。通过本文，读者可以较系统地了解三维点云语义分割的数据获取方式、常见数据集及模型的评价指标，对比基于不同网络架构的三维点云语义分割方法的发展过程、分割性能和优缺点，并进一步认识三维点云语义分割现存的挑战和潜在的研究方向。,"三维视觉,点云,语义分割,深度学习,网络架构"
多模态学习方法综述,"陈鹏,李擎,张德政,杨宇航,蔡铮,陆子怡",大数据是多源异构的。在信息技术飞速发展的今天，多模态数据已成为近来数据资源的主要形式。研究多模态学习方法，赋予计算机理解多源异构海量数据的能力具有重要价值。本文归纳了多模态的定义与多模态学习的基本任务，介绍了多模态学习的认知机理与发展过程。在此基础上，重点综述了多模态统计学习方法与深度学习方法。此外，本文系统归纳了近两年较为新颖的基于对抗学习的跨模态匹配与生成技术。本文总结了多模态学习的主要形式，并对未来可能的研究方向进行思考与展望。,"多模态学习,统计学习,深度学习,对抗学习,特征表示"
基于集成神经网络的剩余寿命预测,"张永峰,陆志强","针对机器或设备的剩余寿命（Remaining useful life, RUL）预测精度低的问题，提出基于一维卷积神经网络（Convolutional neural network, CNN）和双向长短期记忆（Bidirectional long short-term memory, BD-LSTM）的集成神经网络模型。为了更好地抽取时间序列上的特征，以及产生更多的训练样本，采用滑动窗口对数据进行处理，同时采用卡尔曼滤波对数据进行降噪处理，将数据标准化以及设置RUL标签。与人工提取特征不同，利用一维CNN对数据进行特征提取，并舍弃了CNN中的池化层。然后将提取到的高维特征输入到BD-LSTM进行回归预测，并采用Bagging的方式对此神经网络进行集成来预测RUL。最后通过在NASA的数据集上验证该模型的有效性，以及相比于其他机器学习或者深度学习模型的优越性，实验表明所提模型在RUL预测方面更加准确。","卡尔曼滤波,剩余寿命预测,神经网络,深度学习,集成学习"
油气资源开发的大数据智能平台及应用分析,"宋洪庆,都书一,周园春,王宇赫,王九龙",油气资源大数据智能平台的总体框架应以数据资源为基础、大数据平台算力为支撑、人工智能算法为核心，面向油气行业生产需求，构建集勘探、开发、生产数据于一体的油气数据资源池，通过数据清洗与融合提升数据质量，整合物理模拟与数据挖掘等手段，实现服务功能模块化，并在PC端、管控大屏、手机移动APP等多维平台实现智能监测、预警与展示。通过对深度学习等人工智能方法在油气工业领域的应用案例分析，表明其具有较好的应用前景。未来石油公司应与科研院所通力合作，挖掘石油工业数据的巨大潜能，实现降本增效，建设全新的智能油气工业生态圈，完成产业升级。,"石油,天然气,大数据,人工智能,深度学习,机器学习"
基于数据融合的智能医疗辅助诊断方法,"张桃红,范素丽,郭徐徐,李倩倩",医生诊断需要结合临床症状、影像检查等各种数据，基于此，提出了一种可以进行数据融合的医疗辅助诊断方法。将患者的影像信息（如CT图像）和数值数据（如临床诊断信息）相结合，利用结合的信息自动预测患者的病情，进而提出了基于深度学习的医疗辅助诊断模型。模型以卷积神经网络为基础进行搭建，图像和数值数据作为输入，输出病人的患病情况。该医疗辅助诊断方法能够利用更加全面的信息，有助于提高自动诊断准确率、降低诊断误差；另外，仅使用提出的医疗辅助诊断模型就可以一次性处理多种类型的数据，能够在一定程度上节省诊断时间。在两个数据集上验证了所提出方法的有效性，实验结果表明，该方法是有效的，它可以提高辅助诊断的准确性。,"图像分类,卷积神经网络,特征融合,医疗诊断,深度学习"
复杂环境下一种基于SiamMask的时空预测移动目标跟踪算法,"周珂,张浩博,付冬梅,赵志毅,曾惠",随着无人工厂、智能安监等技术在制造业领域的深入应用，以视觉识别预警系统为代表的复杂环境下动态识别技术成为智能工业领域的重要研究内容之一。在本文所述的工业级视觉识别预警系统中，操作人员头发区域由于其具有移动形态非规则性、运动无规律性的特点，在动态图像中的实时分割较为困难。针对此问题，提出一种基于SiamMask模型的时空预测移动目标跟踪算法。该算法将基于PyTorch深度学习框架的SiamMask单目标跟踪算法与ROI检测及STC时空上下文预测算法相融合，根据目标时空关系的在线学习，预测新的目标位置并对SiamMask模型进行算法校正，实现视频序列中的目标快速识别。实验结果表明，所提出的算法能够克服环境干扰、目标遮挡对跟踪效果的影响，将目标跟踪误识别率降低至0.156%。该算法计算时间成本为每秒30帧，比改进前的SiamMask模型帧率每秒提高3.2帧，算法效率提高11.94%。该算法达到视觉识别预警系统准确性、实时性的要求，对移动目标识别算法模型的复杂环境应用具有借鉴意义。,"深度学习,复杂环境,移动目标识别,SiamMask,STC"
基于图神经网络增强通信特征的僵尸网络异常通信检测,"王云浩,胡堰,皇甫伟,霍佳皓",工业互联网中的传统工业设备存在大量安全漏洞，在联网过程中易受僵尸网络攻击，其通过恶意控制大量联网设备，实现对目标网络的大规模协同攻击. 传统基于规则或阈值的检测方法过度依赖静态签名或人工阈值设定，很难适应动态变化的网络环境；传统机器学习技术对复杂网络高维通信特征的处理能力有限，导致检测能力受限；基于深度学习的检测技术通常将网络流量视为时间序列或空间数据进行处理，无法对设备拓扑依赖关系进行建模，因而难以识别僵尸网络协同攻击. 为了解决上述局限性，本文采用图结构准确建模复杂通信网络拓扑结构，并提出一种基于图神经网络增强通信特征的僵尸网络异常通信检测技术. 首先从网络流量数据中挖掘细粒度的节点特征与通信特征；然后通过图神经网络的信息传播与聚合机制，获得准确的节点聚合特征表示；再用节点聚合特征增强通信特征，实现准确的异常通信检测；最后在大型公开数据集CTU-13上进行了综合实验，验证所提出方法的有效性. 实验结果表明所提出的方案与现有的卷积神经网络、长短时记忆网络及其融合模型等异常检测算法，以及最新提出的Bot-DM僵尸网络检测方法相比，能更准确地检测僵尸网络异常通信.,"工业互联网安全,僵尸网络,异常通信检测,图神经网络,深度学习"
基于SE注意力机制的废钢分类评级方法,"肖鹏程,徐文广,张妍,朱立光,朱荣,许云峰",为了解决传统人工方法对废钢分类评级人为因素干扰大且效率低下等问题，提出基于挤压−激励（Squeeze−Excitation，SE）注意力机制构建废钢分类评级的深度学习网络模型，并对采集到的废钢卸载过程图像进行模型训练和验证。首先，搭建物理尺寸比例为1∶3废钢质量查验物理模型，采用高分辨率视觉传感器模拟采集货车卸载废钢作业场景下不同废钢的形貌特征；然后，对采集到的废钢图像使用跨阶段局部网络进行特征提取，利用空间金字塔结构解决特征丢失问题，采用注意力机制关注通道间的相关性；最后，在包含7个标签分类的两个数据集进行模型训练与验证。实验表明：该模型能够有效地对不同级别的废钢进行自动评级判定，全类别准确率达到83.7%，全类别平均精度为88.8%，在准确性方面相比于传统人工验质方法具有显著优势，解决了废钢入库过程中质量评价的公正性难题。,"再生钢铁原料,废钢智能评级,深度学习,注意力机制,跨阶段局部网络"
基于渐进机器学习的中文问句匹配方法,"贺学剑,陈安琪,郭志强,王致茹,陈群",问句匹配旨在判断不同问句的意图是否相近. 近年来，随着大型预训练语言模型的发展，利用其挖掘问句对在语义层面隐含的匹配信息，取得了目前为止最好的性能. 然而，由于基于独立同分布假设，在真实场景中，这些深度学习模型的性能仍然受制于训练数据的充足程度和目标数据与训练数据之间的分布漂移. 本文提出一种基于渐进机器学习的中文问句匹配方法. 该方法基于渐进机器学习框架，从不同角度提取问句特征，构建融合各类特征信息的因子图，然后通过迭代的因子推理实现从易到难的渐进学习. 在特征建模中，设计并实现了两种类型特征的提取：（1）基于TF-IDF（Term frequency-inverse document frequency）的关键词特征；（2）基于DNN（Deep neural network）的深度语义特征. 最后，通过通用的基准中文数据集LCQMC和BQ corpus验证了所提方法的有效性. 实验表明，相比于单纯的深度学习模型，基于渐进机器学习的方法可以有效提升问句匹配的准确率，且其性能优势随着标签训练数据的减少而增大.,"自然语言理解,中文问句匹配,渐进机器学习,自然语言预训练模型,因子图推理"
