标题,作者,摘要,关键词
人工神经网络方法在Osprey过程中的应用,"傅晓伟,张济山,孙祖庆","以BP反传理论为基础,建立了对Osprey过程的前向多层神经网络,并对其进行测试.利用这一方法研究了Osprey过程中部分参数对孔隙度的影响.结果证明该网络较好地实现了学习和预测.","神经网络,Osprey,孔隙度"
基于神经网络的轴承故障诊断方法,"蒲小平,陈克兴,徐金梧,马祥华","研究了基于神经网络的轴承故障诊断方法,应用于球轴承、圆锥轴承和圆柱轴承在轴承疲劳试验机上实际运行产生的各种真实故障的诊断,结果表明:该方法具有较好的效果。","故障诊断,神经网络,滚动轴承,疲劳试验,BP网络"
基于神经网络的多传感器自适应滤波,"徐金梧,张晓彤","提出了利用神经网络自适应滤波原理解决多传感器信号处理的方法,通过对多路带噪声的数字模拟信号的滤波结果表明,该方法能快速、有效地消除主信号源的各种背景噪声.","多传感器,神经网络,自适应滤波"
基于集成神经网络的剩余寿命预测,"张永峰,陆志强","针对机器或设备的剩余寿命（Remaining useful life, RUL）预测精度低的问题，提出基于一维卷积神经网络（Convolutional neural network, CNN）和双向长短期记忆（Bidirectional long short-term memory, BD-LSTM）的集成神经网络模型。为了更好地抽取时间序列上的特征，以及产生更多的训练样本，采用滑动窗口对数据进行处理，同时采用卡尔曼滤波对数据进行降噪处理，将数据标准化以及设置RUL标签。与人工提取特征不同，利用一维CNN对数据进行特征提取，并舍弃了CNN中的池化层。然后将提取到的高维特征输入到BD-LSTM进行回归预测，并采用Bagging的方式对此神经网络进行集成来预测RUL。最后通过在NASA的数据集上验证该模型的有效性，以及相比于其他机器学习或者深度学习模型的优越性，实验表明所提模型在RUL预测方面更加准确。","卡尔曼滤波,剩余寿命预测,神经网络,深度学习,集成学习"
神经网络技术在淬火控冷中的应用,"彭开香,董洁,童朝南","热轧钢材的淬火冷却是改善钢材质量和性能的重要措施,淬火过程的核心就是控制钢板的冷却速度.针对传统的淬火控冷模型的固有缺陷,为了满足扩展钢种、规格及淬火温度高精度的要求,利用神经网络技术建立了神经网络淬火控冷温度预报模型,该模型与回归数学模型相结合,完成淬火控冷现场控制.应用结果证明,该综合模型极大地提高了钢板淬火冷却的控制精度,提高了产品的成材率.","神经网络,淬火,数学模型"
神经网络高炉炉况预测与判断专家系统,"杨尚宝,杨天钧,董一诚","将神经网络与传统专家系统有机地结合,建立了用于高炉炉况预测与判断的神经网络专家系统。该系统命中率高、适应性强,且具有良好的自学习功能。","高炉,炉况预测,神经网络,专家系统"
混沌时间序列神经网络拓扑结构的选取方法,"李擎,郑德玲","采用3层前向神经网络描述混沌时间序列的动力学模型,给出了该网络拓扑结构的确定方法.以及使网络泛化误差达到最小为依据确定网络的输入节点和隐含节点个数.仿真结果表明:该方法不仅优化了网络的结构,而且大大减少了网络的泛化误差.","混沌时间序列,神经网络,拓扑结构,泛化误差"
一种用于模式分类有监督的模糊ART神经网络,"潘紫微,徐金梧","探讨了一种将有监督学习机制融合到模糊ART网络构成一个有监督的模糊ART神经网络模型.这种网络能同时处理有监督和无监督学习问题,并具有积累和增加网络学习的能力.对该网络进行了滚动轴承检测数据模式分类实验,并与BP网络进行了比较性实验.结果表明:该网络具有良好模式分类能力和较好的可塑性.","神经网络,模糊理论,模式识别"
热轧机有限元与神经网络集成建模,"胡长斌,童朝南,彭开香","以某钢厂1580热连轧生产数据为基础,提出一种有限元与神经网络集成建模的方法.该方法首先对轧制过程的塑性变形进行有限元建模,然后结合有限元数值分析方法和智能技术的优点,实现有限元和神经网络的集成建模.集成模型中的神经网络模型为有限元模型提供参数调整的依据,并且在神经网络训练过程中使用改进的混沌粒子群优化算法对神经网络进行优化.通过与现场实际生产数据进行比较,验证了该模型的有效性.","热轧机,轧制,塑性变形,有限元分析,神经网络"
板形板厚综合系统的解耦神经网络预测控制方法,"石中锁,孙一康","给出了板形板厚综合控制模型,提出了基于TH神经网络的动态矩阵设计方法并分析了其收敛特性.使用不变性原理对板形板厚综系统进行了解耦设计,并对板形板厚解耦神经网络预测控制系统,进行了仿真研究.结果表明神经网络可在儿百ns的时间内达到稳定状态,不仅满足了轧钢过程的快速性要求,而且控制精度也得到了提高.","控制/动态矩阵,神经网络,板形板厚综合系统,收敛性"
基于遗传神经网络的冷连轧机轧制压力模型,"张大志,程秉祥,李谋渭,孙一康,管克智","对鞍钢冷轧厂四机架冷连轧机轧制压力模型进行了认真分析,指出了其存在的缺陷.把遗传算法(GeneticAlgorithms,简称GA)和神经网络有机结合,设计出了具有遗传算法性能参数优选、网络结构参数优选、网络性能参数优选以及GA-BP算法联合进行网络权值修改几种功能的遗传神经网络,建立了基于遗传神经网络的新冲连轧机轧制压力模型.通过原模型计算值、新模型计算值与实测值之间的对比分析可知,遗传神经网络模型计算精度优于传统轧制力模型.","遗传算法,BP算法,神经网络,轧制压力模型"
基于卡尔曼滤波的迟滞神经网络风速序列预测,"李艳晴,修春波,张欣",通过将迟滞特性引入神经元激励函数的方式，构造了一种前向型迟滞神经网络模型.结合卡尔曼滤波方法，将其应用于风速时间序列的预测分析中.在原始风速时间序列的基础上，构造出风速变化率序列.采用迟滞神经网络分别对两种序列进行预测分析，并将预测结果利用卡尔曼滤波方法进行融合，从而得到最优预测估计结果.仿真实验结果表明，迟滞神经网络具有更加灵活的网络结构，能够有效改善网络的泛化能力，预测性能优于传统神经网络.采用卡尔曼滤波方法对预测结果进行融合后能够进一步提高预测精度，降低预测误差.,"风力发电,风速,预测,神经网络,迟滞,卡尔曼滤波"
神经网络应用于烧结矿质量在线推断,"邵贤强,张铁军,瞿寿德,邱道尹","针对烧结过程生产实际,运用神经网络中的BP学习算法设计了分类器,用于在线推断烧结矿的质量。为了加快BP学习算法的收敛速度,采用了自适应变步长学习算法。实验结果表明,由此建立的烧结过程神经网络质量预报模型,预报正确率高,具有很好的泛化能力。","烧结,神经网络,模式识别/自适应变步长"
基于BP神经网络的CVC冷连轧机板形预测控制模型,"周晓敏,张清东,王长松,陈守群,何汝迎,许健勇","将BP神经网络建模方法与预测控制思想相结合用于宽带钢板形自动控制,研究并建立了基于BP神经网络的板形预测控制数学模型.经用宝钢1420mm冷轧实测数据仿真验证表明该模型具有很高的预测精度.","神经网络,板形自动控制,预测控制系统"
神经网络专家系统的状态识别、知识表示和求解策略,"郑德玲,李育晖","将神经网络与人工智能技术相结合,提出了1种新型的知识表示的形式化描述和知识单元。知识通过模式分类导入,并用IMSBP和(B-B)BP调节2种不同类型的权。在此基础上提出了神经网络的双向求解策略。以加热炉控制验证了其可行性。","专家系统,神经网络,状态识别,自学习"
高炉异常炉况判断专家系统及神经网络的实现,"程冬超,王顺晃,林克真","提出高炉异常炉况判断专家系统原理及实现方法.针对一般专家系统知识获取""瓶颈""现象,引入神经网络实现高炉异常炉况判断.仿真结果表明,这种方法实用可行,为高炉异常炉况判断采用神经网络实现提供了1个很好的实例.","专家系统,高炉,神经网络,模糊逻辑"
BP神经网络IF钢铝耗的预测模型,"张思源,包燕平,张超杰,林路","为了解决某钢厂IF钢冶炼RH精炼过程铝耗偏高问题,通过数理统计和BP神经网络相结合的方法建立了铝耗预测模型,并与多元线性回归模型进行比较,该模型具有更高准确度.该模型分析了不同冶炼工艺参数对铝耗的具体影响,并对相应工艺参数进行了优化.结果表明:脱碳结束氧活度或RH进站氧活度降低0.005%左右,每吨钢铝耗可降低0.07~0.08 kg,铝脱氧有效利用系数为70.31%~80.35%;RH进站钢液温度增加35~40℃,铝耗降低1 kg左右,铝热反应升温利用系数在97.4%左右;吹氧量小于100 m3和大于100 m3时,氧气与铝反应的比例分别为37.3%和74.6%左右,吹氧量每增加50 m3,铝耗分别增加0.1 kg和0.2 kg左右.工艺参数优化后平均铝耗由1.359 kg降低到1.113 kg,降幅达18.1%.","IF钢,低碳钢,铝耗,神经网络,预测模型"
2种改进的神经网络结构学习算法,"王克成,王科俊,余达太",针对已提出的灵敏度计算和自构形2种神经网络结构学习算法，提出2种改进的算法.实验证明改进的算法比原算法有更好的泛化能力.,"神经网络,结构学习算法,灵敏度"
神经网络在大尺度采空区损伤演化统计与预测中应用,"来兴平,张立杰,蔡美峰","利用神经网络结构计算方法对岩石基复合材料支护大尺度采空区动力损伤演化趋势进行统计和预测,并与工程现场多种方法的综合监测数据进行了比较,其结果完全吻合.","神经网络,大尺度采空区,动力损伤与演化,统计与预测"
神经网络在无人驾驶车辆运动控制中的应用综述,"张守武,王恒,陈鹏,张笑语,李擎",无人驾驶车辆自身具有强烈的非线性、信号时延和参数不确定性，对它的控制还受到道路附着系数的变化、侧向风等外界因素影响。因此传统控制方法往往难以对其稳定和精确地控制。神经网络所具有的学习能力、自适应能力和近似非线性映射的能力，为解决车辆模型参数的不确定性、外界的扰动以及车辆自适应控制问题提供了有效的途径。针对上述几个方面，对近几年国内外学者将神经网络应用到无人驾驶车辆运动控制中所取得的成果与进展进行了归纳分类，分别介绍了应用情况并对优缺点进行评价。最后总结了神经网络在无人驾驶车辆运动控制中存在的主要问题，并展望了可能的发展方向。,"神经网络,非线性系统,自适应控制,稳定性,无人驾驶车辆"
基于模糊神经网络的板形板厚综合控制系统,"王粉花,孙一康,陈占英","面对板形板厚控制这一复杂、多变量耦合的非线性系统,提出一种基于模糊神经网络的综合控制方案,实现了无模型板形板厚综合控制.仿真结果表明,该控制系统收敛性好、抗干扰性强,取得令人满意的板形板厚控制精度.","模糊控制,神经网络,板形控制,板厚控制"
基于地理信息系统和神经网络的煤与瓦斯突出预警,"郭德勇,王仪斌,卫修君,王新义","依据煤与瓦斯突出机理及突出过程物理特征,结合煤矿安全监测系统,提出以瓦斯浓度和煤体温度时间序列的煤与瓦斯突出预警指标,利用GIS技术和人工神经网络建立了煤与瓦斯突出预警模型.某矿17180工作面的预警结果表明:预警模型可以为煤与瓦斯突出预警提供技术支持.","地理信息系统,神经网络,瓦斯浓度,煤体温度,煤与瓦斯突出,预警"
遗传机理神经网络在电弧炉炼钢模型辨识中应用,"刘贺平,郭哲,李华德,孙明","在直流电弧炉炼钢过程控制系统中,由于它的复杂机理,高度非线性加大了建模的难度.为提供适用于直流电弧炉炼钢过程优化控制的模型,提出一种引人遗传算法的神经网络建模方法,并将其用于某厂直流电弧炉炼钢过程模型的建立,获得了很好的效果.同时给出了基于现场实测数据的仿真结果.","直流电弧炉炼钢,模型辨识,遗传算法,神经网络"
混合时变时滞神经网络的状态估计器设计,"张蕾,刘贺平,王健安","研究了混合时变时滞(离散时滞和分布时滞)神经网络的状态估计问题.离散时滞在一个区间上变化,区间下界不一定为零.通过构造一个新的Lyapunov泛函,结合Jensen积分不等式,可以得到一个时滞相关状态估计器设计方法,使得误差系统是全局渐近稳定的,所得结果由线性矩阵不等式形式给出.数值算例证明了本文方法的有效性和优越性.","状态估计,时变网络,时滞,神经网络,线性矩阵不等式(LMI),LYAPUNOV函数"
用神经网络技术建造碳钢和低合金钢大气腐蚀知识库,"栾艳冰,李顺华,屈祖玉","简要介绍了传统专家系统知识库所存在的问题,提出了一个基于神经网络的碳钢和低合金钢大气腐蚀知识库系统,并着重阐述了这种新型知识库系统的知识获取、知识表示和系统的实现等问题.","神经网络,专家系统,知识库,大气腐蚀,碳钢和低合金钢"
基于对角递归神经网络的建模及应用,"段慧达,郑德玲,刘聪","介绍了对角递归神经网络,针对BP算法收敛慢的缺点,将递推预报误差学习算法应用到神经网络权值和域值的训练.通过对非线性系统辨识的仿真及在磷化温控系统建模中的应用,验证了这种建模方法的有效性.","对角递归神经网络,非线性系统辨识,磷化,递推预报误差"
基于超声波波速及BP神经网络的胶结充填体强度预测,"徐淼斐,高永涛,金爱兵,周喻,郭利杰,刘光生","尾砂胶结充填体作为一种水泥基多相复合材料,其单轴抗压强度与超声波波速受水泥含量、固体质量分数、试件形态等因素影响.通过制备三种形态(7.07 cm×7.07 cm×7.07 cm立方体,Φ5 cm×10 cm圆柱体和Φ7 cm×14 cm圆柱体)的试件并进行单轴抗压强度试验和声波波速测试,对充填体强度和波速受水泥含量、固体质量分数和试件形态影响的规律进行了灰色-关联度分析.结果表明:水泥含量是影响强度的关键核心因素,关联度为0.837;固体质量分数是影响波速的关键核心因素,关联度为0.712.建立了充填体强度-波速指数函数预测模型和BP神经网络预测模型,通过对两种预测模型进行统计分析的F检验和t检验验证了两种方法在充填体强度预测的可行性,为胶结充填体的强度预测提供了新方法.","充填,抗压强度,预测模型,超声波波速,神经网络"
基于回归神经网络的复杂工业对象的建模,"魏剑平,李华德,余达太,冯扬","讨论一种动态神经网络——Elman回归神经网络的结构和算法.基于这一网络结构提出了非线性时变工业对象——直流电弧的神经网络建模方法,并与用其他方法为对象建立的模型进行了比较,结果证明回归网络模型能够很好地适配该工业对象,显示了动态神经网络在工业对象建模中的良好应用前景.","回归神经网络,建模,工业对象"
基于卷积神经网络的连续语音识别,"张晴晴,刘勇,潘接林,颜永红","在语音识别中,卷积神经网络(convolutional neural networks,CNNs)相比于目前广泛使用的深层神经网络(deep neural network,DNNs),能在保证性能的同时,大大压缩模型的尺寸.本文深入分析了卷积神经网络中卷积层和聚合层的不同结构对识别性能的影响情况,并与目前广泛使用的深层神经网络模型进行了对比.在标准语音识别库TIMIT以及大词表非特定人电话自然口语对话数据库上的实验结果证明,相比传统深层神经网络模型,卷积神经网络明显降低模型规模的同时,识别性能更好,且泛化能力更强.","卷积神经网络,连续语音识别,权值共享,聚合,泛化性"
神经网络在信号处理中的应用,"徐金梧,梁静","运用BP网络来消除信号的随机噪声和模式识别.作为例子,考虑了正弦波、矩形波和三角波3种信号.在50%噪声情况下,BP网络仍能有效地消除这3种信号中的随机噪声并正确地找出它的理想模式.","神经网络,信号处理/BP网络,随机噪声,模式识别"
深度神经网络模型压缩综述,"李江昀,赵义凯,薛卓尔,蔡铮,李擎",深度神经网络近年在计算机视觉以及自然语言处理等任务上不断刷新已有最好性能，已经成为最受关注的研究方向.深度网络模型虽然性能显著，但由于参数量巨大、存储成本与计算成本过高，仍然难以部署到硬件受限的嵌入式或移动设备上.相关研究发现，基于卷积神经网络的深度模型本身存在参数冗余，模型中存在对最终结果无用的参数，这为深度网络模型压缩提供了理论支持.因此，如何在保证模型精度条件下降低模型大小已经成为热点问题.本文对国内外学者近几年在模型压缩方面所取得的成果与进展进行了分类归纳并对其优缺点进行评价，并探讨了模型压缩目前存在的问题以及未来的发展方向.,"深度神经网络,模型压缩,深度学习,网络剪枝,网络蒸馏"
煤与瓦斯突出预测灰色理论-神经网络方法,"郭德勇,李念友,裴大文,郑登锋","将灰色理论-神经网络方法应用于煤与瓦斯突出预测中,利用灰色系统理论的灰色关联法确定了控制矿井煤与瓦斯突出的主控因素,并对煤与瓦斯突出主控因素进行筛选.建立了煤与瓦斯突出危险性预测人工神经网络的数学模型和系统结构.在平顶山八矿突出区进行了煤与瓦斯突出危险性预测应用,预测效果表明:利用灰色系统理论-神经网络方法对预测矿井煤与瓦斯突出是可行的.","煤与瓦斯突出,突出预测,灰色关联,人工神经网络"
基于人工神经网络的热轧碳钢变形抗力预报,"韩丽琦,臧勇,邹家祥,章博","以恒应变速率凸轮压缩试验机得到的实验数据为基础,采用人工神经网络的方法建立了碳钢变形抗力与应变、应变速率及温度对应关系的预测模型,与多元非线性回归模型比较,神经网络模型具有较高的预测精度.","人工神经网络,变形抗力,凸轮压缩试验机"
免疫遗传算法在BP神经网络中的应用,"洪露,穆志纯","提出了一种基于免疫遗传算法(IGA)的BP神经网络设计方法.该算法在遗传算法(GA)的基础上引入生物免疫系统中的多样性保持机制和抗体浓度调节机制,有效地克服了GA算法的搜索效率低、个体多样性差及早熟现象,提高了算法的收敛性能.为了解决BP神经网络权值随机初始化带来的问题,用多样性模拟退火算法(SAND)进行神经网络权值初始化,并给出了算法详细的设计步骤.仿真结果表明,同混合遗传算法相比,该算法设计的BP神经网络具有较快的收敛速度和较强的全局收敛性能.","BP神经网络,免疫遗传算法,模拟退火算法,全局收敛性"
基于模糊神经网络的地图匹配算法,"苏海滨,王光政,王继东","提出了基于模糊神经网络的新的地图匹配算法.该算法综合了数字道路信息和GPS/DR定位信息,提取两个重要参数作为输入变量,即定位点到候选路段的投影距离及定位航向与候选路段方位角差.设计出了四层模糊神经网络及改进的收敛学习规则.实验结果表明所提出的算法能很好地匹配车辆行驶路段位置.","车辆,导航系统,全球定位系统,地图匹配,模糊神经网络"
基于深度神经网络的点击率预测模型,"刘弘历,武森,魏桂英,李新,高晓楠","针对现有深度神经网络点击率预测模型在对用户偏好建模时，难以有效且高效地处理用户行为序列的问题，提出长短期兴趣网络（Long and short term interests network, LSTIN）模型，充分利用用户历史记录上下文信息和顺序信息，提升点击率预测精准性和训练效率。使用基于注意力机制的Transformer和激活单元结构完成用户长、短期兴趣建模，对用户短期兴趣进一步使用循环神经网络（Recurrent neural network, RNN）、卷积神经网络（Convolutional neural networks, CNN）进行处理，最后使用全连接神经网络进行预测。在亚马逊公开数据集上开展实验，将提出的模型与基于分解机的神经网络（DeepFM）、深度兴趣网络（Deep interest network, DIN）等点击率预测模型对比，结果表明提出的模型实现了考虑上下文信息和顺序信息的用户历史记录建模，接受者操作特征曲线下面积（Area under curve, AUC）指标为85.831%，相比于基础模型（BaseModel）提升1.154%，相比于DIN提升0.476%。且因区分用户长、短期兴趣，模型能够在提升预测精准性的同时保障训练效率。","点击率预测,长短期兴趣网络,深度神经网络,注意力机制,循环神经网络,卷积神经网络"
深度神经网络模型量化方法综述,"杨春,张睿尧,黄泷,遆书童,林金辉,董志伟,陈松路,刘艳,殷绪成",近年来，利用大型预训练模型来提高深度神经网络在计算机视觉以及自然语言处理等具体任务下的泛化能力和性能，逐渐成为基于深度学习的人工智能技术与应用的发展趋势. 虽然这些深度神经网络模型表现优异，但是由于模型的结构复杂、参数量庞大与计算成本极高，使得它们仍然难以被部署在如家电或智能手机等资源受限的边缘及端侧硬件平台上，这很大程度上阻碍了人工智能技术的应用. 因此，模型压缩与加速技术一直都是深度神经网络模型大规模商业化应用推广的关键问题之一. 当前在多种模型压缩与加速方案中，模型量化是其中主要的有效方法之一. 模型量化技术可以通过减少深度神经网络模型参数的位宽和中间过程特征图的位宽，从而达到压缩加速深度神经网络的目的，使量化后的网络能够部署在资源有限的边缘设备上，然而，由于量化会导致信息的大量丢失，如何在保证模型任务精度条件下实现模型量化已经成为热点问题. 另外，因硬件设备以及应用场景的不同，模型量化技术已经发展成为一个多分支的研究问题. 通过全面地调研不同角度下模型量化相关技术现状，并且深入地总结归纳不同方法的优缺点，可以发现量化技术目前仍然存在的问题，并为未来可能的发展指明方向.,"深度神经网络,模型压缩与加速,模型量化,量化感知训练,后训练量化,混合精度量化"
改进粒子群优化神经网络及其在产品质量建模中的应用,"王建国,阳建宏,云海滨,徐金梧","针对传统神经网络优化算法易陷入局部最优值的问题,在标准粒子群算法的基础上,对粒子速度与位置更新策略进行改进,提出一种基于改进粒子群优化算法的BP神经网络建模方法.使用sinc函数、波士顿住房数据及某钢厂带钢热镀锌生产的实际数据进行验证.结果表明,与标准的反向传播神经网络和支持向量机相比,基于改进粒子群优化的神经网络模型可以有效提高预测精度.","BP神经网络,粒子群优化算法,产品质量模型,带钢热镀锌"
人工神经网络预测纯金属的表面张力,"桂玮珍,谢允安,乔芝郁",建立了以纯金属原子半径、熔点、沸点和原子化焓预测表面张力的人工神经网络模型．训练后的神经网络能较好的拟会实验数据.对40种金属的表面张力进行回想和预测结果与实验值的偏差在可接受范围内，表明人工神经网络在纯金属表面张力预测方面有一定的前景．,"表面张力,人工神经网络,反传学习"
神经网络在梯度功能材料制备中的应用,"徐雪艳,穆志纯,汪朝霞,郭丽斌","针对梯度功能材料(FGM)制备过程的复杂性,提出了利用神经网络信息处理机制进行制备材料的特性预估;实例分析表明,这一方法是有效的.同时,针对BP学习算法速度较慢,易陷入局部极小的缺点,改用函数型连接网络来提高学习速度.试验表明学习速度提高显著.","神经网络/梯度功能材料,BP算法,函数型连接网络"
应用神经网络建立采矿经验知识库,"李英龙,童光煦","应用神经网络建立了获取采矿方法选择时所需的主要技术经济指标的采矿经验知识库,并以普通全面法为例,描述建造BP网络模型的过程.研究结果表明:利用这个采矿经验知识库,就可以根据采矿方法的工程背景,求得它的主要技术经济指标.","采矿工程,神经网络/知识库,BP模型"
基于模糊神经网络的炼钢炉静态建模,"田民乐,刘少民","根据炼钢转炉的实际采集数据,利用1种新型模糊神经网络(FNN),对其进行了静态建模。从理论上论证了该FNN的推理及非线性逼近能力。用新建模型对钢水终点温度,终点含碳量进行计算,其结果与相应的实测值基本一致。","模糊神经网络,系统辨识,转炉"
一种局部回归神经网络的快速算法,"王飓,刘贺平","针对目前局部回归神经网络动态BP算法的误差导数计算复杂、收敛速度慢的缺陷,提出了一种新的快速算法.该算法是将信号流图引入动态BP算法,较好地解决了求解误差导数的复杂性,同时采用BFGS算法加快了网络的收敛速度.仿真结果表明了本算法的有效性.","局部回归神经网络,动态BP算法,信号流图,BFGS"
基于小波神经网络的混沌模式提取,"江亚东,丁丽萍,夏克俭,李恪,陈因颀","分析了小波基函数对于确定模式、混沌模式及随机模式所表现出来的不同的收敛特性,提出构造一个小波神经网络及相应学习算法.利用小波网络在学习过程中神经元的不同增长趋势来反映上述收敛性的差异,从而将3种不同的模式予以区分,并将混沌模式从中提取出来.","KDD,小波神经网络,混沌模式"
软体机械臂的建模与神经网络控制,"杨妍,刘运鹏,韩江涛,刘志杰,韩志冀",软体机械臂因其出色的环境适应能力以及安全的人机交互使其在医疗、航天航空等领域有着广阔的应用前景。但由于软体机械臂是一类连续体装置，不能采用传统的刚体机械臂的建模和控制方法，需要一种新的建模方法。针对一类线驱动软体机械臂，本文提出一种基于应变参数化方法的软体机械臂建模方法，能够描述软体机械臂在三维空间下在不同布线方式下的运动。首先把整个软体机械臂当作一个Cosserat梁，利用成熟的Cosserat梁理论进行建模，其核心思想是利用Ritz方法对软体机械臂应变场进行离散化，得到一组常微分方程组，其次利用反向传播(Back propagation，BP)神经网络完成形状空间与驱动器空间的驱动力转换。针对软体机械臂模型中存在的未知动态，利用径向基函数（Radial basis function，RBF）神经网络进行逼近和补偿。然后基于Lyapunov稳定理论证明了引入自适应神经网络控制器后闭环系统的稳定性。最后，针对模型与自适应神经网络控制器进行了一系列的仿真实验，验证了模型和控制算法的有效性。因此，可以实现对一类软体机械臂的建模控制。,"软体机械臂,Ritz方法,神经网络控制,Cosserat梁理论,Lyapunov稳定理论"
基于GA–BP神经网络的边坡变形预测,"谭文辉,李凯,刘慧敏,蔡美峰,郭奇峰",露天矿山高边坡的变形预测是保障矿山安全生产的重要手段. 本文以西藏某矿山边坡为对象，采用高精度合成孔径干涉雷达对矿区南帮边坡进行了全天候位移监测，分析了边坡变形的基本规律；采用小波降噪理论对采集的时序位移监测数据进行了降噪处理，并且为了避免预测模型陷入局部极小值，引入遗传算法（即GA算法）整合进BP神经网络的训练步骤中，用于优化BP神经网络的初始权值和阈值设置，建立了GA–BP神经网络边坡变形时序预测模型，并与BP神经网络边坡变形时序预测模型进行对比分析. 研究结果表明： GA–BP模型较BP模型的预测精度提高了10%以上，预测的平均误差减少了50%以上，而且预测的边坡变形趋势与监测值吻合程度更高；GA–BP模型较BP模型收敛速度加快10倍以上，GA–BP模型的回归系数、模型适应度优于BP模型. 因此，采用GA–BP模型可使边坡变形预测的精度、收敛速度、泛化能力均得到提高，预测结果更为可靠，可为矿山边坡安全生产提供保障.,"露天矿边坡,变形预测,BP神经网络,遗传算法,时间序列"
基于贝叶斯神经网络的带钢厚度预测与控制,"彭开香,余尚志","采用贝叶斯统计学原理改进传统神经网络算法,通过在神经网络的目标函数中引入表示网络结构复杂性的约束项,避免网络的过拟合以提高网络的泛化能力.将改进的神经网络应用于济钢1700mm热连轧机带钢厚度预测中,其预报精度、训练时间和网络稳定性均优于传统神经网络预测;然后应用贝叶斯神经网络预测带钢塑性系数;最后将出口带钢厚度和带钢塑性系数的实时预测值综合应用于带钢热连轧厚度控制系统,改进了传统的厚度控制方式,进一步提高带钢质量.","带钢,热连轧,厚度控制,贝叶斯神经网络"
神经网络在金属大气腐蚀率预测中的应用,"马小彦,栾艳冰,屈祖玉,李长荣","根据我国大气腐蚀网站积累的环境数据和材料腐蚀数据,采用人工神经网络方法。建立了碳钢及低合金钢在大气条件下,腐蚀率与金属腐蚀暴露时间对应关系的预测模型.结果表明:在相同的大气环境下不同的金属存在着不同的网络;相同金属在不同的大气环境下存在着不同网络;BP算法的形式要根据实际情况而定.","大气腐蚀,人工神经网络,预测"
