标题,作者,摘要,关键词
基于ECG信号的高精度血糖监测,"李婷,叶松,李景振,马菁菁,陆瑶芃,洪培涛,聂泽东",连续血糖监测在糖尿病管理中具有重要的意义。目前糖尿病患者主要通过指尖采血或植入式微创传感器监测血糖，但上述方法存在疼痛、成本昂贵、易感染等问题，因此，无创监测是实现连续血糖监测的理想技术。本文利用心电(ECG)信号，提出了一种血糖水平无创监测的方法：通过获取12名志愿者共60 d 756160个ECG周期信号，利用递归滤波器实现ECG信号的滤波，并采用卷积神经网络和长短期记忆网络相结合(CNN-LSTM)的方法，实现了血糖水平的十分类监测，并通过实验探索了个体建模和群体建模2种建模方式的差异。结果表明，在个体建模和群体建模的条件下，血糖监测精确率分别约达到80%和88%。其中群体建模10分类的F1值可达到0.95、0.88、0.91、0.85、0.92、0.88、0.86、0.86、0.87和0.86。研究表明，本文提出的基于ECG的无创血糖监测方法为实现血糖水平的实时、精准监测提供了一种有力的理论支撑与技术指导。,"ECG信号,连续血糖监测,卷积神经网络,长短期记忆网络,血糖监测"
基于稀疏注意力卷积ViT模型的锌浮选工况识别,"苏越,唐朝晖,谢永芳,高小亮,张虎,马炜烨,汤海玚","准确识别锌浮选工况并用于指导锌浮选操作，可以提高浮选效率、优化选矿过程. 目前浮选现场主要通过人工肉眼观察泡沫并依据经验判断工况，这种方法主观性强，难以客观准确地评价锌浮选工况. 针对该问题，本文通过研究锌浮选泡沫视觉特征和浮选工况的密切联系，提出基于稀疏注意力卷积ViT模型的锌浮选工况识别方法. 首先，所提模型融合了卷积神经网络（Convolutional neural networks, CNN）和视觉Transformer（Vision transformer，ViT）的结构和优点，同时感知泡沫局部空间信息和全局信息，完备表征泡沫图像. 其次，模型引入稀疏的多头注意力机制，每个注意力头以不同的稀疏程度处理特征，从不同尺度下感知全局信息，同时引入注意力门控单元优化特征传递，最终实现锌浮选工况识别. 实验结果表明，本文所提工况识别方法在锌浮选泡沫图像数据集上的准确率达到88.62%，解决了传统CNN和ViT模型不能充分利用泡沫图像全局信息，且无法自适应捕捉泡沫图像重要特征的问题，为浮选流程优化提供有力支持.","工况识别,卷积神经网络,视觉Transformer,稀疏注意力,泡沫浮选"
基于切面识别的房间隔缺损智能辅助诊断,"张文静,李文秀,刘爱军,武兴坤,李剑峰,罗涛",针对超声心动图像质量差、噪声多，传统卷积神经网络架构对超声心动图像的学习能力有限、表达不充分的缺点，提出了一种基于标准切面识别的房间隔缺损（Atrial septal defect，ASD）智能辅助诊断模型。该模型通过对超声心动图像进行切面识别，充分融合其不同切面的语义特征，使得诊断的准确率得到明显提升。此外，还对其进行双边滤波保边去噪，并基于此模型搭建房间隔缺损智能辅助诊断系统（简称ASD辅助诊断系统）。结果表明，该ASD辅助诊断系统的准确率高达97.8%，且与传统卷积神经网络相比大大降低了假阴性率。,"深度学习,超声心动图,房间隔缺损,切面识别,双边滤波"
基于机器学习的北京市PM2.5浓度预测模型及模拟分析,"曲悦,钱旭,宋洪庆,何杰,李剑辉,修昊","对北京市周边8个点多个压力高度的温度、湿度和风速数据, 以及北京市PM2.5污染数据进行了分析和归一化处理, 建立了反向传播神经网络(back propagation, BP)、卷积神经网络(convolutional neural network, CNN) 和长短期记忆模型(long short-term memory, LSTM) 对上述气象数据和污染数据进行训练, 训练结果表明: 反向传播神经网络模型和卷积神经网络模型对未来1 h的PM2.5污染等级的预测准确率较低, 而长短期记忆模型的准确率较高.使用长短期记忆模型预测未来1 h的PM2.5污染值与实际值十分接近, 表明北京市的PM2.5污染与其周边地区的气象条件关系密切.通过利用长短期记忆模型对不同压力高度的气象数据进行训练和对比, 得出在利用气象数据预测污染时, 仅使用近地面气象数据比使用多个高度上的气象数据更加准确.","机器学习,PM2.5,气象条件,神经网络,长短期记忆,污染预测"
基于切分通道注意力网络的图像分类算法,"储岳中,石玉金,张学锋,刘恒",通道注意力机制可以有效利用不同的特征通道，通过对特征图的通道进行加权和调整，使得卷积神经网络可以更加关注重要的特征通道，以提高卷积神经网络的分类能力. 然而，对于使用全局平均池化来获取通道全局特征的方法，特征图中不同的通道有极大概率出现相同的均值，使得全局平均池化后的特征缺乏多样性，进一步影响网络分类性能. 针对此问题，提出一种切分通道注意力机制来构建模块，该模块对全局平均池化的输出维度进行了扩展，减轻全局平均池化造成的信息丢失，增强了通道注意力中全局平均池化层的特征多样性，然后使用多个一维卷积分别计算通道维度上每个区域的注意力权重. 将切分通道注意力机制与多种图像分类网络相结合，在CIFAR-100和ImageNet数据集上进行了图像分类实验. 实验结果表明，切分通道注意力机制在保持轻量化的基础上仍然能有效提高模型的精度，并且与其他注意力机制相比也表现出较好的优势.,"图像分类,通道注意力,全局平均池化,高效通道注意力,模型解释"
基于S-LRCN的微表情识别算法,"李学翰,胡四泉,石志国,张明","基于面部动态表情序列，针对静态表情缺少时间信息等问题，将空间特征与时间特征融合，利用神经网络在图像分类领域良好的特征，对需要进行细节分析的表情序列进行处理，提出基于分离式长期循环卷积网络(Separate long-term recurrent convolutional networks, S-LRCN)的微表情识别方法。首先选取微表情数据集提取面部图像序列，引入迁移学习的方法，通过预训练的卷积神经网络模型提取表情帧的空间特征，降低网络训练中过拟合的危险，并将视频序列的提取特征输入长短期记忆网络(Long short-team memory, LSTM)处理时域特征。最后建立学习者表情序列小型数据库，将该方法用于辅助教学评价。","微表情识别,时空特征,长期递归卷积网络,长短期记忆网络,教学评价"
基于集成神经网络的剩余寿命预测,"张永峰,陆志强","针对机器或设备的剩余寿命（Remaining useful life, RUL）预测精度低的问题，提出基于一维卷积神经网络（Convolutional neural network, CNN）和双向长短期记忆（Bidirectional long short-term memory, BD-LSTM）的集成神经网络模型。为了更好地抽取时间序列上的特征，以及产生更多的训练样本，采用滑动窗口对数据进行处理，同时采用卡尔曼滤波对数据进行降噪处理，将数据标准化以及设置RUL标签。与人工提取特征不同，利用一维CNN对数据进行特征提取，并舍弃了CNN中的池化层。然后将提取到的高维特征输入到BD-LSTM进行回归预测，并采用Bagging的方式对此神经网络进行集成来预测RUL。最后通过在NASA的数据集上验证该模型的有效性，以及相比于其他机器学习或者深度学习模型的优越性，实验表明所提模型在RUL预测方面更加准确。","卡尔曼滤波,剩余寿命预测,神经网络,深度学习,集成学习"
基于一维卷积特征与手工特征融合的集成超限学习机心跳分类方法,"许越凡,肖文栋,曹征涛",融合手工特征和深度特征，提出了一种集成超限学习机心跳分类方法。手工提取的特征明确地表征了心电信号的特定特性，如相邻心跳时间间隔反映了心跳信号的时域特性，小波系数反映了心跳信号的时频特性。同时设计了一维卷积神经网络对心跳信号特征进行自动提取。基于超限学习机（Extreme leaning machine，ELM），将上述特征融合进行心跳分类。由于ELM初始参数的随机给定可能导致其性能不稳定，进一步提出了一种基于袋装（Bagging）策略的多个ELM集成方法，使分类结果更加稳定且模型泛化能力更强。利用麻省理工心律失常公开数据集对所提方法进行了验证，分类准确率达到了99.02%，实验结果也表明基于融合特征的分类准确率高于基于单独特征的分类准确率。,"心跳分类,特征融合,一维卷积神经网络,小波变换,集成超限学习机"
深度神经网络模型压缩综述,"李江昀,赵义凯,薛卓尔,蔡铮,李擎",深度神经网络近年在计算机视觉以及自然语言处理等任务上不断刷新已有最好性能，已经成为最受关注的研究方向.深度网络模型虽然性能显著，但由于参数量巨大、存储成本与计算成本过高，仍然难以部署到硬件受限的嵌入式或移动设备上.相关研究发现，基于卷积神经网络的深度模型本身存在参数冗余，模型中存在对最终结果无用的参数，这为深度网络模型压缩提供了理论支持.因此，如何在保证模型精度条件下降低模型大小已经成为热点问题.本文对国内外学者近几年在模型压缩方面所取得的成果与进展进行了分类归纳并对其优缺点进行评价，并探讨了模型压缩目前存在的问题以及未来的发展方向.,"深度神经网络,模型压缩,深度学习,网络剪枝,网络蒸馏"
一种基于轻量级神经网络的高铁轮对轴承故障诊断方法,"邓飞跃,丁浩,吕浩洋,郝如江,刘永强",深度神经网络技术用于机械设备故障诊断展现出了巨大潜力，但繁重复杂的计算量对计算机硬件提出了严苛的要求，严重限制了其在实际工程中的应用。基于此提出一种新型的轻量级神经网络ShuffleNet，用于高速列车轮对轴承故障诊断研究。该网络模型基于模块化设计思想，包含多个高效率的ShuffleNet单元，通过运用分组卷积与深度可分离卷积技术极大改善了传统卷积操作的运算效率；同时使用通道混洗方法克服了通道分组带来的约束，改进了网络的损失精度。实验分析表明，所提网络模型可有效用于复杂工况下高速列车轮对轴承故障诊断，相比传统卷积神经网络、残差网络和Xception等当前深度神经网络模型，在保证诊断精度的同时，运行效率得到大幅提升。这为深度神经网络技术应用于工程实际，克服计算机硬件条件限制提供了一条新的途径。,"轮对轴承,高速列车,故障诊断,深度神经网络,ShuffleNet单元"
ETRCN：用于轻量化光伏功率预测的ETALinear两级残差修正网络,"刘书言, 李其骏, 和学豪, 苏适, 黄伟, 李鹏",针对现有光伏功率预测模型存在的精度低、计算时间长等问题，本文提出了ETRCN：用于轻量化光伏功率预测的ETALinear两级残差修正网络，首先利用一个参数冻结的一维卷积神经网络对原始数据进行趋势-残差分解，分解后利用改进的轻量化时间注意力机制进行特征权重计算从而对原始特征进行缩放，将注意力机制处理后的趋势项与残差项进行加性融合后得到预测值，随后利用卷积门控单元对长序列残差进行一级修正，再使用多层感知机对系统残差进行二级修正，最后将初步预测值与两步残差修正后的结果相加得到最后的预测值。实验表明，ETRCN的RMSE为82.54kW，相比CNN-BiLSTM-AM降低约23.1%，相比LSTM降低约17.1%，相比GWO-GRU降低约22.6%，相比TCN-BiGRU降低约42.8%。在拟合度方面，ETRCN的R2达到0.922，比CNN-BiLSTM提高约1.1%，LSTM提高约6.9%，比GWO-GRU提高约10.3%，比TCN-BiGRU提高约8.3%。此外，ETRCN参数量仅为17.68K，较CNN-BiLSTM-AM、LSTM、TCN-BiGRU和GWO-GRU分别减少约98.0%、99.6%、99.7%和48.6%，单步预测时间也缩短至0.235s，相较最慢的LSTM加速约81.6%，较目前主流的光伏功率预测模型而言，在计算精度与计算效率方面具有显著优越性，具有一定的工程应用价值。,"光伏功率预测,时间注意力机制,Dlinear,残差修正,卷积门控单元,多层感知机"
基于KPCA-MTCN的锂离子电池故障诊断方法,"谭启鹏,李勇琦,陈满,张领先,彭鹏,万民惠",为了维护储能系统的安全稳定运行，本文针对锂离子电池故障诊断这一重要问题，提出了一种结合核主成分分析(KPCA)和多尺度时序卷积网络(MTCN)的故障诊断方法. 该方法首先归一化故障数据，然后利用KPCA降低数据维度并校验数据的可靠性；其次，根据故障类型对数据进行标注，并按比例划分训练集和测试集；接着在训练阶段使用霜冰算法（RIME）优化MTCN模型的超参数以提高模型的精度；最后基于故障数据验证MTCN的分类精度，并与长短期记忆神经网络(LSTM)、卷积神经网络(CNN)、Xception和ResNet50进行比较. 在KPCA验证充电故障和未知故障数据的可靠性后，基于两组数据测试的结果表明，相比于CNN和LSTM，MTCN对于两组故障的分类准确率均为最高，分别达到了99.265%和99.688%，与Xception和ResNet50较为接近. 同时针对训练数据量的测试结果表明，在训练数据量较少时MTCN仍能保持较好的诊断效果，说明MTCN的并行结构可以从不同的尺度提取更多的时序信息.,"锂离子电池,故障诊断,核主成分分析,多尺度时序卷积网络,霜冰算法"
骨架图引导的级联视网膜血管分割网络,"姜大光,李明鸣,陈羽中,丁文达,彭晓婷,李瑞瑞",针对目前视网膜血管分割中存在的细小血管提取不完整、分割不准确的问题，从血管形状拓扑关系利用的角度出发，探索多任务卷积神经网络设计，提出骨架图引导的级联视网膜血管分割网络框架。该框架包含血管骨架图提取网络模块、血管分割网络模块和若干自适应特征融合结构体。骨架提取辅助任务用于提取血管中心线，能够最大限度地保留血管拓扑结构特征；自适应特征融合结构体嵌入在两个模块的特征层间。该结构体通过学习像素级的融合权重，有效地将血管拓扑结构特征与血管局部特征相融合，加强血管特征的结构信息响应。为了获得更完整的骨架图，骨架图提取网络还引入了基于图的正则化损失函数用于训练。与最新的血管分割方法相比，该方法在3个公共视网膜图像数据集上均获得第一名，在DRIVE，STARE和CHASEDB1中其F1值分别为83.1%，85.8%和82.0%。消融实验表明骨架图引导的视网膜血管分割效果更好，并且，基于图的正则化损失也能进一步提高血管分割准确性。通过将骨架提取模块和血管分割模块替换成不同的卷积网络验证了框架的普适性。,"骨架提取,视网膜血管分割,多任务,级联网络,基于图的正则化"
基于智能磨矿介质及CNN和优化SVM模型的球磨机负荷识别方法,"徐怀兵,王廷,邹文杰,赵建军,陶乐,张志军",当前球磨机负荷检测方法难以准确评估磨机内部变化，给磨机综合运行状态的控制和优化带来较大难度。本文设计了一款内嵌加速度传感器且与钢球介质物理性质相一致的智能磨矿介质用于识别磨机负荷，开展了不同充填率等磨矿条件下的磨矿试验，设计磨矿效果系数划分磨机负荷状态；分别采用了卷积神经网络方法(CNN)和优化的支持向量机(SVM)模型对智能磨矿介质获取的加速度信号进行球磨机负荷识别。基于优化的SVM模型将获取的一维加速度信号进行互补集合经验模态分解算法（CEEMD）去噪、时域特征值和样本熵提取等预处理，将上述磨机负荷的特征向量分别输入GA−SVM、GS−SVM、PSO−SVM分类模型进行训练，研究表明，PSO−SVM模型的识别准确率可达98.33%，但存在训练过程繁琐，耗费时间长的问题。在图像识别领域具有优秀应用能力的CNN模型是把智能磨矿介质检测加速度信号数据转换为二维图片后直接输入基于VGG19网络的CNN模型进行分类识别，磨机负荷分类识别准确率高于优化的SVM模型，可达98.89%，在保证识别准确率的同时有效节约了计算时间。基于CNN的智能磨矿介质球磨机负荷识别方法可为实现球磨机负荷检测与在线评估提供重要解决方案与技术保障。,"磨机负荷,智能磨矿介质,样本熵,CNN,SVM"
基于深度学习的高超声速飞行器执行器零样本故障辨识,"曹芳菲,朱怀石,杜长坤,路平立",近年来，基于深度学习的故障诊断已经通过大量数据进行了深入的研究. 然而，深度学习技术的巨大成功是基于可以获取大量带标签的训练样本的假设. 在实际问题中，经常面临数据不平衡、标记的数据太少或没有数据的情况. 基于此，本文研究了高超声速飞行器在零样本情况下的故障辨识问题. 考虑飞控系统执行器故障，运用深度学习技术来识别特定故障类型（失效故障或卡死故障）. “零样本”指的是在故障诊断的深度学习模型构建中，未曾包含或引入任何与目标故障相关的样本数据. 因此，该模型必须依赖于其他方法和特征来推断和准确识别这些未知故障，以实现有效的故障辨识. 针对这一问题，使用人工定义的故障描述来表征未知故障. 具体而言，即利用关系网络学习将已知故障样本与定义的未知故障描述进行比较. 进一步，为实现特征提取，结合卷积神经网络及长短期记忆神经网络，构建深度神经网络结构. 最后，在Winged-cone (翼椎体)构型的高超声速飞行器上进行零样本故障辨识实验，结果表明在没有目标故障样本的情况下，所设计的算法可以完成对目标故障的诊断工作.,"高超声速飞行器,故障识别,执行器故障,零样本,关系网络"
ViTAU：基于Vision transformer和面部动作单元的面瘫识别与分析,"高嘉,蔡文浩,赵俊莉,段福庆",面部神经麻痹（Facial nerve paralysis，FNP），通常称为贝尔氏麻痹或面瘫，对患者的日常生活和心理健康产生显著影响，面瘫的及时识别和诊断对于患者的早期治疗和康复至关重要. 随着深度学习和计算机视觉技术的快速发展，面瘫的自动识别变得可行，为诊断提供了一种更准确和客观的方式. 目前的研究主要集中关注面部的整体变化，而忽略了面部细节的重要性. 面部不同部位对识别结果的影响力并不相同，这些研究尚未对面部各个区域进行细致区分和分析. 本项研究引入结合Vision transformer（ViT）模型和动作单元（Action unit，AU）区域检测网络的创新性方法用于面瘫的自动识别及区域分析. ViT模型通过自注意力机制精准识别是否面瘫，同时，基于AU的策略从StyleGAN2模型提取的特征图中，利用金字塔卷积神经网络分析受影响区域. 这一综合方法在YouTube Facial Palsy（YFP）和经过扩展的Cohn Kanade（CK+）数据集上的实验中分别达到99.4%的面瘫识别准确率和81.36%的面瘫区域识别准确率. 通过与最新方法的对比，实验结果展示了所提的自动面瘫识别方法的有效性.,"Transformer,面部动作单元,多分辨率特征图,生成器,热力图回归"
一种用于脑肿瘤分割的改进U形网络,"黄敬腾,李锵,关欣",近年来卷积神经网络在生物医学图像处理中得到了广泛应用，例如从磁共振图像中准确分割脑肿瘤是临床诊断和治疗脑部肿瘤疾病的关键环节。3D U-Net因其分割效果优异受到追捧，但其跳跃连接补充的特征图为编码器特征提取后的输出特征图，并未进一步考虑到此过程中的原始细节信息丢失问题。针对这一问题，本文提出前置跳跃连接，并在此基础上设计了一种前置跳跃连接倒残差U形网络（FS Inv-Res U-Net）。首先，将前置跳跃连接用于改进DMF Net、HDC Net和3D U-Net 3个典型网络以验证其有效性和泛化性；其次，采用前置跳跃连接和倒残差结构改进3D U-Net，进而提出FS Inv-Res U-Net，最后在BraTS公开验证集上对所提网络进行验证。BraTS2018的验证结果在增强型肿瘤、全肿瘤和肿瘤核心的Dice值分别是80.23%、90.30%和85.45%，豪斯多夫距离分别是2.35、4.77和5.50 mm；BraTS2019的验证结果在增强型肿瘤、全肿瘤和肿瘤核心的Dice值分别是78.38%、89.78%和83.01%，豪斯多夫距离分别是4、5.57和6.37 mm。结果表明，FS Inv-Res U-Net取得了不输于先进网络的评价指标，能够实现脑肿瘤精确分割。,"脑肿瘤分割,3D U-Net,跳跃连接,倒残差,磁共振图像,多模态融合"
基于改进Informed-RRT*的机械臂抓取运动规划,"殷雄,陈炎,郭文豪,杨子辰,陈汉歆,廖安,姚道金",为提高工业机械臂对目标物体抓取及对障碍物躲避的效率和成功率，提出一种基于改进抓取信息引导的快速随机树星(GI-RRT*)的机械臂路径规划算法. 首先，预先设定最大迭代次数和自适应函数，缩短机械臂运动轨迹生成时间，增强采样导向性和质量；其次，基于椭圆形子集直接采样，对采样点位置进行约束，提高采样效率；最后，采用贪心算法删除机械臂运动轨迹的冗余点，并使用三次B样条曲线平滑约束机械臂运动轨迹，提高机械臂运动轨迹的柔顺性. 利用生成残差卷积神经网络模型预测，输入深度相机采集的彩色图像和深度图像，输出视场中物体的适当映射抓取位姿. 为验证机械臂的抓取效果，选择三指气动柔性夹爪，设计柔性抓取模块，并结合法奥（FR3）协作机械臂构建自主抓取系统，进行二维地图仿真和机械臂样机实验. 结果表明，与传统的信息引导的快速随机树星算法相比，GI-RRT*算法运动轨迹长度缩短10.11%，轨迹生成时间缩短62.68%. 同时，算法具有较强的鲁棒性. 机械臂能独立地避开障碍物、抓取目标物体，满足其自主抓取的需求.,"柔性夹爪,机械臂,运动规划,信息引导的快速随机树星算法,神经网络"
