标题,作者,摘要,关键词
神经网络在金属大气腐蚀率预测中的应用,"马小彦,栾艳冰,屈祖玉,李长荣","根据我国大气腐蚀网站积累的环境数据和材料腐蚀数据,采用人工神经网络方法。建立了碳钢及低合金钢在大气条件下,腐蚀率与金属腐蚀暴露时间对应关系的预测模型.结果表明:在相同的大气环境下不同的金属存在着不同的网络;相同金属在不同的大气环境下存在着不同网络;BP算法的形式要根据实际情况而定.","大气腐蚀,人工神经网络,预测"
煤与瓦斯突出预测灰色理论-神经网络方法,"郭德勇,李念友,裴大文,郑登锋","将灰色理论-神经网络方法应用于煤与瓦斯突出预测中,利用灰色系统理论的灰色关联法确定了控制矿井煤与瓦斯突出的主控因素,并对煤与瓦斯突出主控因素进行筛选.建立了煤与瓦斯突出危险性预测人工神经网络的数学模型和系统结构.在平顶山八矿突出区进行了煤与瓦斯突出危险性预测应用,预测效果表明:利用灰色系统理论-神经网络方法对预测矿井煤与瓦斯突出是可行的.","煤与瓦斯突出,突出预测,灰色关联,人工神经网络"
网络动态调度系统的服务质量性能分析,"陶丽红,郝卫东,杨扬,梁哲","提出了考虑具有不同输入速率和输出速率的任务队列的网络动态调度系统状态空间模型,描述了网络动态调度系统的清空型调度策略,并在此基础上给出了系统服务质量性能指标包括队列长度、总任务数量、系统吞吐量、响应时间等的分析算法.数值计算表明,适当的调度策略可以使网络动态调度系统的响应时间处于受控的范围内,系统吞吐量处于稳定的状态.","服务质量,计算机网络,动态调度系统,性能分析,离散事件动态系统"
一种适用于HFC网络CM的QoS解决方案,"宋丽华,李培娅,张燕,王沁","通过对不同网络QoS机制进行分析比较和对DOCSIS1.1规范QoS标准的深入研究,提出了一种适用HFC网络接入网设备CM的QoS机制解决方案.给出了CM QoS体系的设计模型,对各模块进行了详细的功能介绍,从设计上保证了为不同的IP数据提供不同的服务质量.详细阐述了动态业务的发起过程和实现技术,讨论了HFC网络QoS的下一步研究方向.","QoS,DOCSIS1.1,CM,HFC网络,RSVP"
网络控制系统的一种统一的Markov跳变模型,"刘磊明,童朝南","对于网络诱导延迟的上界大于或小于一个采样周期的两种不同情况的连续时间网络控制系统,采用离散化与增广状态空间方法,建立了统一的Markov链离散时间跳变模型.由于模型含有反映系统的网络诱导延迟的大小与计算精度的参数,因此它具有更广泛的适应性.应用离散时间线性跳变系统理论,分析了保证系统均方稳定的充要条件.在所论及的保证系统均方稳定的设计算法中,给出了一种求内点法初始可行解的方法.在延迟带有一定任意性的车载倒立摆的网络控制设计中,该改进算法得到了有效应用.","网络控制系统,延迟,跳变系统,Markov链,离散化,增广状态空间方法"
基于贝叶斯神经网络的带钢厚度预测与控制,"彭开香,余尚志","采用贝叶斯统计学原理改进传统神经网络算法,通过在神经网络的目标函数中引入表示网络结构复杂性的约束项,避免网络的过拟合以提高网络的泛化能力.将改进的神经网络应用于济钢1700mm热连轧机带钢厚度预测中,其预报精度、训练时间和网络稳定性均优于传统神经网络预测;然后应用贝叶斯神经网络预测带钢塑性系数;最后将出口带钢厚度和带钢塑性系数的实时预测值综合应用于带钢热连轧厚度控制系统,改进了传统的厚度控制方式,进一步提高带钢质量.","带钢,热连轧,厚度控制,贝叶斯神经网络"
神经网络在汉语语音识别中的应用,"吴谨,王绍纯","论述了基于神经网络模型的特定人汉语语音识别,并建立了一基于3层BP神经网络的汉语语音识别系统.对汉语10个数字(1~10)进行识别实验,获得了较满意的识别结果.","语音识别,神经网络,特定人,汉语"
一种基于小波网络的混沌时间序列判定,"江亚东,吴竹青,陈因颀,江月","在对混沌时间序列与随机序列的不同特征进行分析的基础上,提出一种可对二者予以区分的判定算法.并结合具有优异特性的小波函数,构造一种小波神经网络.最终给出基于小波网络的集成的混沌时间序列判定一预测算法.","小波神经网络,混沌时间序列,预测"
神经网络在梯度功能材料制备中的应用,"徐雪艳,穆志纯,汪朝霞,郭丽斌","针对梯度功能材料(FGM)制备过程的复杂性,提出了利用神经网络信息处理机制进行制备材料的特性预估;实例分析表明,这一方法是有效的.同时,针对BP学习算法速度较慢,易陷入局部极小的缺点,改用函数型连接网络来提高学习速度.试验表明学习速度提高显著.","神经网络/梯度功能材料,BP算法,函数型连接网络"
应用神经网络建立采矿经验知识库,"李英龙,童光煦","应用神经网络建立了获取采矿方法选择时所需的主要技术经济指标的采矿经验知识库,并以普通全面法为例,描述建造BP网络模型的过程.研究结果表明:利用这个采矿经验知识库,就可以根据采矿方法的工程背景,求得它的主要技术经济指标.","采矿工程,神经网络/知识库,BP模型"
基于神经网络的自适应故障模式分类方法,"潘紫微,徐金梧","在深入研究APT-2神经网络结构的基础上,提出了一种基于神经网络的自适应故障模式分类方法,并应用在轴承故障诊断中,结果表明:该方法对轴承故障模式具有自学习、快速稳定的识别能力。","故障诊断,神经网络,轴承,模式识别,ART-2网络"
基于有向权值网络的航班运行风险传播与控制,"王岩韬,杨志远,刘锟,谢春生",为了分析航班运行风险传播过程，进而有效控制保障飞行安全，基于复杂网络理论，首先参照民航局咨询通告选取机组、航空器、运行环境共29个终端因素作为网络节点，统计民航安全监察记录，根据事件中节点关系，构建无向网络；统计前后节点间的作用关系和发生概率，提出一种有向带权的航班运行风险网络；然后，引入改进感染率和改进恢复率概念，构建一种适用于航班运行风险传播分析的改进SIR(Susceptible-infected-recovered)模型；定义感染起始范围，最后采取多参数控制方式，大规模计算该有向带权网络的传播和控制过程。结果表明：有向网的平均最短路径为1.788，属于小世界网络；参照使用民航常规管控措施，有向网节点感染下降幅度可达到37.4%；对入度值排序前3或前4的节点控制后，感染节点峰值下降率高达50.6%和58.1%，网络传播抑制明显。结果证实：在该航班运行风险有向带权网络中，按入度值控制节点对抑制风险传播最为有效。,"航空运输,航班运行风险,复杂网络,有向带权网络,改进SIR模型"
基于人工神经网络的扁钢轧制力模型,"赵伦,王邦文,韩素梅","根据BP人工神经网络算法原理,结合某厂型钢轧机轧制扁钢时的轧制力实测数据,对扁钢轧制力进行建模.结果表明,神经网络用于轧制力建模是可行的,所建模型系统误差<1%,模型计算值与实测值的偏差<4%,较好地反映了实际轧制过程的特征.","系统建模,神经网络,轧制力模型"
一种局部回归神经网络的快速算法,"王飓,刘贺平","针对目前局部回归神经网络动态BP算法的误差导数计算复杂、收敛速度慢的缺陷,提出了一种新的快速算法.该算法是将信号流图引入动态BP算法,较好地解决了求解误差导数的复杂性,同时采用BFGS算法加快了网络的收敛速度.仿真结果表明了本算法的有效性.","局部回归神经网络,动态BP算法,信号流图,BFGS"
基于人工神经网络的热轧碳钢变形抗力预报,"韩丽琦,臧勇,邹家祥,章博","以恒应变速率凸轮压缩试验机得到的实验数据为基础,采用人工神经网络的方法建立了碳钢变形抗力与应变、应变速率及温度对应关系的预测模型,与多元非线性回归模型比较,神经网络模型具有较高的预测精度.","人工神经网络,变形抗力,凸轮压缩试验机"
基于小波神经网络的混沌模式提取,"江亚东,丁丽萍,夏克俭,李恪,陈因颀","分析了小波基函数对于确定模式、混沌模式及随机模式所表现出来的不同的收敛特性,提出构造一个小波神经网络及相应学习算法.利用小波网络在学习过程中神经元的不同增长趋势来反映上述收敛性的差异,从而将3种不同的模式予以区分,并将混沌模式从中提取出来.","KDD,小波神经网络,混沌模式"
散体介质复杂力链网络演化持续同调拓扑研究,"王金安,杨柳,李飞","力链网络是表征颗粒物质和散体介质细观力学本质特征以及研究其宏观结构力学行为的重要基础。由于力链构型的复杂性和多重形态，使得力链网络难以分析处理。拓扑数据分析（TDA）为定量描述力链网络提供了一种简单、有效且易处理的方法。基于拓扑数据分析中的持续同调理论，建立了散体颗粒从接触网络到力链网络，再到拓扑空间模型的分析方法。以放顶煤开采为例，采用光弹实验方法，追踪放顶煤开采力链演化过程，对顶煤与覆岩力链网络进行持续同调拓扑分析。研究表明：将采场中散体颗粒应力作为持续同调分析的阈值ε时，Betti数可以作为衡量采场来压的一个量化指标，采场顶部覆岩和工作面前方煤岩力链网络β0曲线呈抛物线形，且来压时抛物线峰值高于初始状态下的峰值。顶部覆岩β0峰值位于强力链范围，而工作面前方煤岩β0峰值位于次强力链范围。β1曲线呈L形，在[0.3, 1]区间内，β1趋近于0，在[0, 0.2]区间内与ε近似呈反比。持续同调拓扑研究为定量分析颗粒介质复杂力链网络演化和宏观力学行为提供了有效方法。","散体介质,拓扑,持续同调,力链网络,光弹实验,放顶煤"
认知无线电网络自私行为问题及安全解决方案,"薛楠,周贤伟,周健","针对认知无线电网络中出现的两种自私行为问题,结合分簇式认知无线电网络体系结构,提出两种相应的安全解决方案.对路由发现阶段,由信道协商过程产生的隐藏可用信道信息的自私行为,首先通过可信簇头发现自私节点,然后由簇头向目的节点发送转发节点的可用数据信道信息来避免自私行为.对拒绝转发数据包的自私行为,通过节点监视机制确定自私节点,从而避免在路由过程中将自私节点作为转发节点.为了便于检验两种安全解决方案的有效性和可行性,设计了一种分布式认知无线电网络按需路由协议.理论分析和仿真实验表明,这两种自私行为问题可严重降低网络通信性能,相应的安全解决方案是有效和可行的,可分别显著提高合作节点的平均吞吐量和网络吞吐率.","认知无线电,网络安全,自私行为,路由"
热疗机器人在网络病治疗中的应用,"殷雪艳,石飞飞,王进强,宁焕生",网络病指的是因过度使用互联网或电子设备，导致身体和心理上的一系列问题，例如眼睛疲劳、焦虑症等. 随着互联网的普及和移动设备的广泛使用，长时间使用电脑屏幕和手机导致的网络病已成为影响人们健康的一大问题. 热疗法作为治疗网络病的重要方法之一，精准控制热疗温度是关键，但受医师经验差异的限制，其推广受到制约. 热疗机器人基于深度学习技术精准识别热疗区域，通过温控系统实时调节温度，具有操作稳定、精准和高效等优点，能够提高热疗法的安全率，并能够避免一些人为因素带来的风险. 本文围绕国内外热疗机器人在网络病治疗中的应用现状进行分析，在此基础上，阐述了热疗技术、目标区域导航与定位技术、机器人结构设计和安全保护技术等四方面关键技术，并分析目前存在的不足，系统展望了该技术在网络病治疗中的发展趋势.,"网络病,热疗,机器人,导航与定位,安全保护"
基于深度神经网络的点击率预测模型,"刘弘历,武森,魏桂英,李新,高晓楠","针对现有深度神经网络点击率预测模型在对用户偏好建模时，难以有效且高效地处理用户行为序列的问题，提出长短期兴趣网络（Long and short term interests network, LSTIN）模型，充分利用用户历史记录上下文信息和顺序信息，提升点击率预测精准性和训练效率。使用基于注意力机制的Transformer和激活单元结构完成用户长、短期兴趣建模，对用户短期兴趣进一步使用循环神经网络（Recurrent neural network, RNN）、卷积神经网络（Convolutional neural networks, CNN）进行处理，最后使用全连接神经网络进行预测。在亚马逊公开数据集上开展实验，将提出的模型与基于分解机的神经网络（DeepFM）、深度兴趣网络（Deep interest network, DIN）等点击率预测模型对比，结果表明提出的模型实现了考虑上下文信息和顺序信息的用户历史记录建模，接受者操作特征曲线下面积（Area under curve, AUC）指标为85.831%，相比于基础模型（BaseModel）提升1.154%，相比于DIN提升0.476%。且因区分用户长、短期兴趣，模型能够在提升预测精准性的同时保障训练效率。","点击率预测,长短期兴趣网络,深度神经网络,注意力机制,循环神经网络,卷积神经网络"
基于神经网络的轴承故障诊断方法,"蒲小平,陈克兴,徐金梧,马祥华","研究了基于神经网络的轴承故障诊断方法,应用于球轴承、圆锥轴承和圆柱轴承在轴承疲劳试验机上实际运行产生的各种真实故障的诊断,结果表明:该方法具有较好的效果。","故障诊断,神经网络,滚动轴承,疲劳试验,BP网络"
免疫遗传算法在BP神经网络中的应用,"洪露,穆志纯","提出了一种基于免疫遗传算法(IGA)的BP神经网络设计方法.该算法在遗传算法(GA)的基础上引入生物免疫系统中的多样性保持机制和抗体浓度调节机制,有效地克服了GA算法的搜索效率低、个体多样性差及早熟现象,提高了算法的收敛性能.为了解决BP神经网络权值随机初始化带来的问题,用多样性模拟退火算法(SAND)进行神经网络权值初始化,并给出了算法详细的设计步骤.仿真结果表明,同混合遗传算法相比,该算法设计的BP神经网络具有较快的收敛速度和较强的全局收敛性能.","BP神经网络,免疫遗传算法,模拟退火算法,全局收敛性"
基于神经网络的多传感器自适应滤波,"徐金梧,张晓彤","提出了利用神经网络自适应滤波原理解决多传感器信号处理的方法,通过对多路带噪声的数字模拟信号的滤波结果表明,该方法能快速、有效地消除主信号源的各种背景噪声.","多传感器,神经网络,自适应滤波"
基于模糊神经网络的地图匹配算法,"苏海滨,王光政,王继东","提出了基于模糊神经网络的新的地图匹配算法.该算法综合了数字道路信息和GPS/DR定位信息,提取两个重要参数作为输入变量,即定位点到候选路段的投影距离及定位航向与候选路段方位角差.设计出了四层模糊神经网络及改进的收敛学习规则.实验结果表明所提出的算法能很好地匹配车辆行驶路段位置.","车辆,导航系统,全球定位系统,地图匹配,模糊神经网络"
骨架图引导的级联视网膜血管分割网络,"姜大光,李明鸣,陈羽中,丁文达,彭晓婷,李瑞瑞",针对目前视网膜血管分割中存在的细小血管提取不完整、分割不准确的问题，从血管形状拓扑关系利用的角度出发，探索多任务卷积神经网络设计，提出骨架图引导的级联视网膜血管分割网络框架。该框架包含血管骨架图提取网络模块、血管分割网络模块和若干自适应特征融合结构体。骨架提取辅助任务用于提取血管中心线，能够最大限度地保留血管拓扑结构特征；自适应特征融合结构体嵌入在两个模块的特征层间。该结构体通过学习像素级的融合权重，有效地将血管拓扑结构特征与血管局部特征相融合，加强血管特征的结构信息响应。为了获得更完整的骨架图，骨架图提取网络还引入了基于图的正则化损失函数用于训练。与最新的血管分割方法相比，该方法在3个公共视网膜图像数据集上均获得第一名，在DRIVE，STARE和CHASEDB1中其F1值分别为83.1%，85.8%和82.0%。消融实验表明骨架图引导的视网膜血管分割效果更好，并且，基于图的正则化损失也能进一步提高血管分割准确性。通过将骨架提取模块和血管分割模块替换成不同的卷积网络验证了框架的普适性。,"骨架提取,视网膜血管分割,多任务,级联网络,基于图的正则化"
深度神经网络模型量化方法综述,"杨春,张睿尧,黄泷,遆书童,林金辉,董志伟,陈松路,刘艳,殷绪成",近年来，利用大型预训练模型来提高深度神经网络在计算机视觉以及自然语言处理等具体任务下的泛化能力和性能，逐渐成为基于深度学习的人工智能技术与应用的发展趋势. 虽然这些深度神经网络模型表现优异，但是由于模型的结构复杂、参数量庞大与计算成本极高，使得它们仍然难以被部署在如家电或智能手机等资源受限的边缘及端侧硬件平台上，这很大程度上阻碍了人工智能技术的应用. 因此，模型压缩与加速技术一直都是深度神经网络模型大规模商业化应用推广的关键问题之一. 当前在多种模型压缩与加速方案中，模型量化是其中主要的有效方法之一. 模型量化技术可以通过减少深度神经网络模型参数的位宽和中间过程特征图的位宽，从而达到压缩加速深度神经网络的目的，使量化后的网络能够部署在资源有限的边缘设备上，然而，由于量化会导致信息的大量丢失，如何在保证模型任务精度条件下实现模型量化已经成为热点问题. 另外，因硬件设备以及应用场景的不同，模型量化技术已经发展成为一个多分支的研究问题. 通过全面地调研不同角度下模型量化相关技术现状，并且深入地总结归纳不同方法的优缺点，可以发现量化技术目前仍然存在的问题，并为未来可能的发展指明方向.,"深度神经网络,模型压缩与加速,模型量化,量化感知训练,后训练量化,混合精度量化"
